set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
regulation of DNA replication (GO:0006275),0.23946144495082258,15/21,BCAR3;FAF1;RBBP6;BLM;DSCC1;SMC3;CCNA2;ATR;CDC6;BRPF3;GMNN;FBXO5;GLI1;ESCO2;GTPBP4,0.20686491073389857,16/21,EGF;BCAR3;RBBP6;BLM;DSCC1;SMC3;CCNA2;ATR;CDC6;BRPF3;GMNN;FBXO5;GDF2;GLI1;ESCO2;GTPBP4,21
lipid modification (GO:0030258),0.23946144495082258,15/21,DGKH;DGKI;MBOAT1;CYP1A1;ALOX5;DGKB;CYP3A4;LPCAT3;CYP3A5;EPHX2;DGKQ;PLA2G7;SGPP2;CYP3A7;ALOX15B,0.7139036585381751,13/21,ALOX12B;DGKH;DGKE;CYP1A1;MBOAT1;DGKB;ALOX5;LPCAT3;CYP3A5;EPHX2;DGKQ;PLA2G7;ALOX15B,21
transition metal ion transport (GO:0000041),0.23946144495082258,15/21,ATP7B;TRPC5;SLC31A2;CP;SLC30A1;ATP2C2;SLC30A9;IREB2;ATP2C1;TFRC;CUTC;COX17;SLC30A8;SLC39A8;TRPC6,0.7139036585381751,13/21,TRPC5;SLC31A2;CP;SLC30A9;ATP2C1;TRPC7;TFRC;CUTC;COX17;SLC39A8;TRPC6;TFR2;SLC30A10,21
regulation of stress fiber assembly (GO:0051492),0.23946144495082258,15/21,LIMK1;MYOC;S100A10;SLC9A1;ITGB1BP1;GPR65;TMEFF2;TSC1;SYNPO2L;SORBS3;ARHGAP28;RHPN2;EPHA1;APOA1;WAS,0.36490260986174344,15/21,LIMK1;ARHGAP6;S100A10;SERPINF2;SLC9A1;GPR65;TMEFF2;TSC1;SYNPO2L;ARHGEF15;SORBS3;RHPN2;EPHA1;ARHGAP28;WAS,21
neurotransmitter secretion (GO:0007269),0.2458383101375461,13/18,RAB3A;LIN7B;RIMS1;STXBP3;GRM4;SYT10;SNCA;CPLX4;BRSK1;CPLX3;SNPH;SYT1;OTOF,0.3625973988226935,13/18,PPFIA3;LIN7B;RIMS1;STXBP3;GRM4;SYT10;SNCA;GAD2;BRSK1;CPLX3;SNPH;SYT1;OTOF,18
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157),0.2458383101375461,13/18,CEACAM6;DCHS1;REG3A;CBLN1;CRB2;CEACAM8;AMIGO2;CRTAM;IGSF21;ICAM1;IL1RAPL1;SELE;AMIGO3,0.5574301469424092,12/18,AMIGO1;DCHS1;CBLN1;CEACAM8;CRB2;AMIGO2;GRID2;IGSF21;ICAM1;IL1RAPL1;SELE;CRTAM,18
proteoglycan biosynthetic process (GO:0030166),0.2458383101375461,13/18,B3GALT6;NDST3;XYLT2;CHST9;CHST12;EXT1;CHST11;FOXL1;B4GALT7;B3GAT3;BMPR1B;CHST13;GAL3ST3,0.3625973988226935,13/18,B3GALT6;NDST3;XYLT2;CHST9;CHST12;CHST10;B4GALT7;B3GAT3;BMPR1B;GLCE;GAL3ST3;GAL3ST4;B3GAT2,18
signal release from synapse (GO:0099643),0.2458383101375461,13/18,RAB3A;LIN7B;RIMS1;STXBP3;GRM4;SYT10;SNCA;CPLX4;BRSK1;CPLX3;SNPH;SYT1;OTOF,0.3625973988226935,13/18,PPFIA3;LIN7B;RIMS1;STXBP3;GRM4;SYT10;SNCA;GAD2;BRSK1;CPLX3;SNPH;SYT1;OTOF,18
regulation of DNA repair (GO:0006282),0.2458383101375461,13/18,RNF168;FGF10;CEBPG;RPS3;UIMC1;EYA1;TRIM28;PARG;POLH;PML;TMEM161A;ERCC6;EYA4,0.3625973988226935,13/18,RNF168;FGF10;CEBPG;RPS3;UIMC1;DEK;RAD52;TRIM28;PARG;POLH;PML;TMEM161A;EYA4,18
regulation of substrate adhesion-dependent cell spreading (GO:1900024),0.2458383101375461,13/18,CSPG5;MYOC;P4HB;LIMS2;S100A10;DOCK1;ITGB1BP1;MYADM;TRIOBP;LIMS1;APOA1;FBLN1;CALR,0.8658347393018268,10/18,CSPG5;P4HB;LIMS2;S100A10;DOCK1;MYADM;TRIOBP;LIMS1;FBLN1;CALR,18
regulation of release of cytochrome c from mitochondria (GO:0090199),0.2458383101375461,13/18,MLLT11;DNM1L;TRIAP1;MMP9;PYCARD;MOAP1;PLSCR3;PDCD5;CIDEB;BAD;PPIF;AVP;FXN,0.3625973988226935,13/18,MLLT11;PPIF;DNM1L;TRIAP1;MMP9;MOAP1;PLSCR3;PDCD5;CIDEB;BAD;GPX1;AVP;FXN,18
regulation of dendrite development (GO:0050773),0.2458383101375461,13/18,CSMD3;RTN4IP1;CAMK1D;LZTS1;SEMA4D;HECW1;SDC2;ALK;ZDHHC15;SARM1;CDKL5;CHRNA3;RAP2A,0.3625973988226935,13/18,CSMD3;RTN4IP1;CAMK1D;LZTS1;SEMA4D;HECW1;SDC2;ALK;ZDHHC15;SARM1;CDKL5;CHRNA3;RAP2A,18
positive regulation of interferon-beta production (GO:0032728),0.2458383101375461,13/18,TLR9;RIOK3;DHX58;TLR8;RNF135;IRF3;TLR3;POLR3D;TLR2;IFIH1;TRIM56;POLR3G;IRF1,0.5574301469424092,12/18,POLR3G;TLR9;RIOK3;DHX58;TLR8;RNF135;IRF3;POLR3D;IFIH1;DDX58;POLR3C;IRF1,18
positive regulation of mRNA catabolic process (GO:0061014),0.2458383101375461,13/18,PNPT1;RC3H1;UPF1;POLR2G;ZFP36L2;CNOT1;DHX36;ZC3H12A;EIF4ENIF1;ZC3HAV1;ZFP36;CNOT8;BTG2,0.3625973988226935,13/18,PNPT1;RC3H1;UPF1;POLR2G;ZFP36L2;CNOT1;DHX36;ZC3H12A;EIF4ENIF1;NANOS1;ZC3HAV1;ZFP36;BTG2,18
positive regulation of kinase activity (GO:0033674),0.25006437036856927,31/46,HLA-DRB1;ADCYAP1;CCL19;CCR7;RYK;EEF1A2;EPHB6;IQGAP1;LMO4;RASSF2;LCP2;MMD;TEK;EPHA10;JTB;MST1R;LTK;EPHB3;EPHB4;ALK;EPHA2;CENPE;INSRR;MAPRE3;DAXX;FGFR2;CSF1R;ZNF622;CAMKK1;PRKAG1;EPHA1,0.01866169219691837,37/46,HLA-DRB1;ADCYAP1;CCL19;CCR7;EPHA7;RYK;EEF1A2;EPHB6;IQGAP1;MMD2;LMO4;RASSF2;LCP2;MMD;TEK;EPHA10;JTB;MST1R;ROS1;LTK;EPHB3;EPHB4;CD4;ALK;EPHA2;CENPE;INSRR;EPHA3;MAPRE3;DAXX;FGFR2;CSF1R;ZNF622;CAMKK1;PRKAG1;EPHA1;CCL21,46
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015),0.25006437036856927,31/46,FOLR1;ASPN;RNF111;LEMD3;DAND5;BAMBI;SMURF2;CDKN1C;PIN1;WFIKKN1;CITED1;SNX6;GIPC1;EMILIN1;ADAMTSL2;VASN;BCL9;ING2;FAM89B;PEG10;CITED2;C20ORF27;ZBTB7A;SDCBP;TGFBR3;UBA52;SPRY1;SKIL;DAB2;ZEB2;SNW1,0.4453769239416682,31/46,FOLR1;ASPN;LEMD3;DAND5;IL17F;BAMBI;CDKN1C;PIN1;TGFB1;ZNF703;CITED1;SNX6;GIPC1;EMILIN1;ADAMTSL2;VASN;BCL9;ING2;BCL9L;FAM89B;PEG10;CITED2;C20ORF27;SDCBP;TGFBR3;UBA52;SPRY1;DAB2;ZEB2;TGFB1I1;SNW1,46
peptidyl-lysine modification (GO:0018205),0.25006437036856927,31/46,NUP37;NSMCE2;NUP133;NUP214;EYA1;NUP107;IFIH1;IVL;SENP2;PIAS4;TRPM4;EGR2;GCSH;RAE1;NUP205;PIAS2;NUP62;LOX;NUP35;RNF113A;SIRT5;NUP85;AAAS;PLOD2;NUP98;TRIM28;NDUFAB1;BLOC1S1;SIRT2;NUP54;RNF212,0.3262752685384972,32/46,SIRT4;CTH;NUP37;RANGAP1;NSMCE2;NUP133;NUP214;NUP107;IFIH1;SENP2;TRPM4;EGR2;HDAC10;GCSH;RAE1;NUP205;PIAS2;NUP62;LOX;NUP35;RNF113A;NUP85;LIPT1;AAAS;PLOD2;NUP98;TRIM28;NDUFAB1;BLOC1S1;SIRT2;NUP54;RNF212,46
cellular response to ketone (GO:1901655),0.2518163102918671,11/15,ADAM15;PTGER2;AHR;TRERF1;AKR1C3;SPHK2;GOLPH3;GNAI1;TNFSF4;KLF9;NDOR1,0.5718783925632238,10/15,PTGER2;AHR;TRERF1;AKR1C3;SPHK2;GOLPH3;GNAI1;KLF9;DCPS;NDOR1,15
positive regulation of actin filament bundle assembly (GO:0032233),0.2518163102918671,11/15,LIMK1;MYOC;S100A10;ITGB1BP1;GPR65;SYNPO2L;SORBS3;EPHA1;PFN3;APOA1;PLEK,0.5718783925632238,10/15,LIMK1;S100A10;SERPINF2;GPR65;SYNPO2L;ARHGEF15;SORBS3;EPHA1;PFN3;PLEK,15
termination of RNA polymerase I transcription (GO:0006363),0.2518163102918671,11/15,CDK7;POLR1E;POLR1C;POLR2E;POLR2H;TTF1;POLR2F;CCNH;GTF2H5;GTF2H4;GTF2H1,0.06383050713856853,13/15,CDK7;POLR1E;ERCC3;TAF1B;POLR1C;GTF2H3;POLR2E;POLR2H;TTF1;POLR2F;CCNH;GTF2H5;GTF2H1,15
positive regulation of T cell mediated immunity (GO:0002711),0.2518163102918671,11/15,HLA-DRB1;IL12A;CD1C;CD1B;FBXO38;STX7;TRAF2;HLA-DRB3;TNFSF4;B2M;IL23R,0.7610794770751036,9/15,HLA-DRB1;IL12A;CD1C;CD1B;STX7;TRAF2;B2M;IL23R;IL12B,15
negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144),0.2518163102918671,11/15,FOXH1;DAB2;HEYL;CLOCK;CNOT1;PIAS2;ZBTB7A;PER1;HDAC1;ZNF366;CALR,0.17729646396125634,12/15,ISL1;FOXH1;DAB2;HEYL;NODAL;CLOCK;CNOT1;PIAS2;PER1;HDAC1;ZNF366;CALR,15
negative regulation of cellular biosynthetic process (GO:0031327),0.2518163102918671,11/15,SNAI1;INS;MST1;AKR1C3;SNAI2;ZC3H12A;OPN3;GLA;PLEK;GCK;ABCA2,0.7610794770751036,9/15,SNAI1;INS;MST1;AKR1C3;ZC3H12A;OPN3;GLA;PLEK;ABCA2,15
embryonic skeletal system morphogenesis (GO:0048704),0.2518163102918671,11/15,MEGF8;HOXC9;DSCAML1;HOXB9;HOXA4;FGFR2;COL2A1;EIF4A3;HOXD4;TBX1;HOXD3,0.17729646396125634,12/15,MEGF8;HOXC9;DSCAML1;HOXB9;HOXA4;FGFR2;OSR1;COL2A1;EIF4A3;HOXD4;TBX1;HOXD3,15
"nucleotide-excision repair, DNA incision, 3'-to lesion (GO:0006295)",0.2518163102918671,11/15,ERCC5;PARP1;GTF2H5;ERCC4;RPA1;RBX1;RPA3;CHD1L;DDB2;GTF2H4;GTF2H1,0.17729646396125634,12/15,ERCC5;PARP1;GTF2H5;ERCC3;RPA1;GTF2H3;RBX1;RPA3;CHD1L;DDB2;GTF2H1;ERCC4,15
cholesterol efflux (GO:0033344),0.2518163102918671,11/15,APOC2;STX12;TSKU;APOA5;APOA2;ABCA7;ABCG4;NPC1;NPC2;ABCA8;APOA1,0.35887745298906404,11/15,APOC2;ABCG5;STX12;TSKU;APOA5;ABCA7;ABCG4;SOAT2;NPC1;NPC2;ABCA8,15
regulation of dopamine secretion (GO:0014059),0.2518163102918671,11/15,CHRNA4;SYT7;DTNBP1;SYT17;SYT10;SNCA;SYT13;SYT2;KCNA2;SYT4;SYT1,0.35887745298906404,11/15,CHRNA4;SYT7;DTNBP1;SYT17;SYT10;SNCA;SYT13;SYT2;SYT8;SYT4;SYT1,15
ncRNA metabolic process (GO:0034660),0.2518163102918671,11/15,FKBP6;PIWIL2;DTD1;PLD6;DDX4;XPO5;ASZ1;PIWIL4;TDRD9;PIWIL1;BCDIN3D,0.5718783925632238,10/15,FKBP6;PIWIL2;DTD1;PLD6;DDX4;XPO5;ASZ1;PIWIL4;TDRD9;BCDIN3D,15
"nucleotide-excision repair, preincision complex stabilization (GO:0006293)",0.2518163102918671,11/15,ERCC5;PARP1;GTF2H5;ERCC4;RPA1;RBX1;RPA3;CHD1L;DDB2;GTF2H4;GTF2H1,0.17729646396125634,12/15,ERCC5;PARP1;GTF2H5;ERCC3;RPA1;GTF2H3;RBX1;RPA3;CHD1L;DDB2;GTF2H1;ERCC4,15
regulation of organelle assembly (GO:1902115),0.25406299954771133,22/32,TBC1D10A;TBC1D17;TBC1D19;RDX;C10ORF90;TBC1D24;PLK2;IFT140;TBC1D10C;ATXN2;CDKL5;TBC1D2;TBC1D21;CEP76;MTMR3;STAM;IFT88;TBC1D16;HCK;UBQLN2;C9ORF72;TBC1D22B,0.0855848829194217,25/32,TBC1D10A;TBC1D17;TBC1D19;TBC1D22A;RDX;ADPRH;TBC1D24;PLK2;IFT140;TSG101;TBC1D10C;CDKL5;TBC1D2;TBC1D10B;CEP76;MTMR3;STAM;IFT88;TBC1D16;HCK;UBQLN2;DCDC2;C9ORF72;TBC1D22B;IFT20,32
amyloid fibril formation (GO:1990000),0.25406299954771133,22/32,INS;SEMG1;SNCA;APCS;APH1B;CALB1;RIPK3;SNCAIP;B2M;NCSTN;PSENEN;SIAH2;RIPK1;SORL1;UBA52;NPPA;APOA1;IAPP;LYZ;TGFBI;TTR;ODAM,0.16467089787054384,24/32,INS;SNCA;NAT8B;NAT8;CALCA;APH1B;CALB1;RIPK3;SNCAIP;B2M;NCSTN;PSENEN;ADAM10;SIAH2;GGA1;RIPK1;SORL1;UBA52;NPPA;IAPP;LYZ;TGFBI;TTR;ODAM,32
positive regulation of cell-substrate adhesion (GO:0010811),0.26292649887933894,20/29,VIT;P4HB;CCR7;CDH13;ECM2;LIMS2;MYADM;NPNT;CSPG5;MYOC;JAK2;EMP2;APOA1;S100A10;DOCK1;TRIOBP;EPHA1;LIMS1;ARL2;CALR,0.5721791089368127,19/29,P4HB;CCR7;CDH13;CCL25;ECM2;LIMS2;MYADM;NPNT;CSPG5;CCL21;JAK2;EMP2;S100A10;DOCK1;TRIOBP;EPHA1;LIMS1;ARL2;CALR,29
positive regulation of protein kinase activity (GO:0045860),0.2657537639077381,41/62,PIH1D1;ADCYAP1;CCL19;CCR7;DKK1;INCENP;TCL1A;KIF14;CAB39;TELO2;ADRB2;SNCA;IQGAP1;MAP2K2;TCL1B;RASSF2;LCP2;MMD;RIPK3;SYAP1;TAOK1;UNC119;JTB;PRKAG1;EMP2;CENPE;PAK6;AGT;CLSPN;DOK7;MAPRE3;PARP16;TPX2;CCL5;DAXX;CSF1R;CAMKK1;MAP2K1;LILRA5;EGR1;IL23R,0.08591845879245436,46/62,PIH1D1;ADCYAP1;CCL19;CCR7;DKK1;INCENP;TCL1A;KIF14;CAB39;TELO2;ADRB2;SNCA;IQGAP1;CALCA;MAP2K2;MMD2;RASSF2;LCP2;MMD;RIPK3;SYAP1;TAOK1;IL12B;UNC119;JTB;PRKAG1;CD4;EMP2;ETAA1;CENPE;PAK6;AGT;CLSPN;MAPRE3;PARP16;TPX2;CCL5;DAXX;CSF1R;CAMKK1;MAP2K1;CCL21;TOM1L1;LILRA5;EGR1;IL23R,62
negative regulation of canonical Wnt signaling pathway (GO:0090090),0.266503083224704,53/81,SOX13;SCYL2;PSMD8;DKK1;PSMB10;LMBR1L;PSMA4;CTNND1;HDAC1;PSMD4;GLI1;IGFBP2;PSMB3;WNT5A;KREMEN2;PSMC3;PSMD11;HECW1;DDIT3;PSMA5;LIMD1;NPHP4;PSMD14;INVS;SIAH2;NPHP3;GREM1;KREMEN1;RUVBL2;TMEM88;SNAI2;GLI3;TBX18;PSMB4;UBAC2;ANKRD6;EMD;PSMB8;DAB2;BMP2;LRP4;IGFBP6;PSMD2;PSMD7;PSME4;PSMA2;SFRP5;TPBG;PSMC5;PSMD6;RBX1;PRICKLE1;TLE1,0.05690098202642961,60/81,SOX13;SCYL2;PSMD8;DKK1;LMBR1L;PSMA4;CTNND1;DKK4;HDAC1;PSMD4;GLI1;IGFBP2;PSMB3;WNT5A;NKX2-5;KREMEN2;PSMB6;TCF7L2;PSMC3;GSK3A;PSMD11;HECW1;PSMA5;LIMD1;NPHP4;PSMD14;PSME2;INVS;SIAH2;SOST;CSNK1A1L;GREM1;NPHP3;KREMEN1;PTPRU;RUVBL2;TMEM88;PSMA8;GLI3;TBX18;PSMB4;UBAC2;ANKRD6;EMD;PSMB8;IGFBP4;DAB2;IGFBP6;PSMD2;PSMD7;NKD1;PSME4;PSMA2;PSMC5;TPBG;PSMD6;RBX1;PSME3;PRICKLE1;TLE1,81
positive regulation of cell projection organization (GO:0031346),0.2677808772087757,27/40,NGFR;CAMK1D;INS;ATP1B2;RIT2;FUT9;PROM2;TWF2;OBSL1;PLXNA3;FES;WNT5A;METRN;SLIT2;ZNF804A;CHODL;CDKL3;CDKL5;STYXL1;LTK;S100A9;GPC2;TIAM2;MAP6;ITGA6;SS18L2;IL1RAPL1,0.3249206478660302,28/40,NGFR;CAMK1D;INS;ATP1B2;PROM2;TWF2;OBSL1;PLXNB3;PLXNA3;WNT5A;CUL7;SLIT2;ZNF804A;CHODL;CDKL3;CDKL5;LTK;S100A9;GPC2;TIAM2;NGF;MAP6;AMIGO1;EPHA3;ITGA6;PTK6;SS18L2;IL1RAPL1,40
