set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
Non-small cell lung cancer,0.15359434112774717,19/26,ALK;RAF1;RXRB;KIF5B;BAD;E2F3;PLCG2;ARAF;MAP2K2;RASSF5;BRAF;E2F1;PRKCG;KIF5A;DDB2;GADD45G;GADD45A;MAP2K1;AKT3,0.637655931914124,20/26,RXRG;ALK;RAF1;SOS1;RXRB;E2F3;PLCG2;ARAF;MAP2K2;BRAF;E2F1;KIF5A;DDB2;BAK1;GADD45G;GADD45A;PIK3CA;MAP2K1;AKT3;EGF,26
p53 signaling pathway,0.1543519918967215,17/23,CCNE2;SESN3;PERP;CCNE1;CCNB2;GADD45A;CCNG1;COP1;RRM2B;EI24;ATR;TP53I3;DDB2;PPM1D;CHEK1;GADD45G;RPRM,0.022073704310706908,22/23,TNFRSF10A;PERP;RPRM;SFN;CCNE1;CCNB2;RRM2B;EI24;ZMAT3;TP53I3;SESN2;CCNE2;CCNG1;COP1;DDB2;PPM1D;GADD45G;SESN3;GADD45A;ATR;CHEK1;SERPINE1,23
Synaptic vesicle cycle,0.15848044834022004,34/49,CPLX3;SLC6A2;SLC6A11;NAPA;AP2S1;DNM3;ATP6V1B1;ATP6V1D;CLTCL1;TCIRG1;SLC6A13;STX2;RIMS1;ATP6V0A2;SLC18A3;CPLX4;STX3;SLC18A1;ATP6V1G2;SLC6A7;SLC18A2;SLC17A7;ATP6V0D1;ATP6V1G3;RAB3A;SLC6A12;SYT1;CLTA;ATP6V1B2;ATP6V0E2;SLC1A6;ATP6V1E1;SLC6A3;SLC1A7,0.31263696631234356,40/49,CPLX3;SLC6A2;AP2M1;SLC6A11;AP2S1;SLC32A1;DNM3;ATP6V1B1;CLTCL1;SLC6A13;ATP6V0E1;STX2;RIMS1;ATP6V1E2;ATP6V0A2;CACNA1A;SLC18A3;CPLX4;SLC6A4;SLC18A1;ATP6V1G2;ATP6V1G1;SLC6A5;UNC13C;SLC6A7;SLC18A2;SLC17A7;ATP6V0D1;CACNA1B;SLC6A12;AP2A1;SLC17A6;CLTA;ATP6V1B2;ATP6V0E2;SLC1A6;ATP6V1E1;SLC6A9;SLC6A3;SLC1A7,49
Apoptosis,0.17569480770120274,37/54,BIRC2;MAP3K14;BOK;TUBA8;NGFR;DAXX;CAPN1;RAF1;BAD;ENDOG;RIPK1;MAP2K2;TRAF2;CTSZ;TUBAL3;LMNB2;MAP3K5;ITPR3;HTRA2;PTPN13;CAPN2;CTSO;LMNB1;GADD45G;FOS;PARP2;CTSF;TUBA3C;GADD45A;CTSK;TUBA1A;NFKBIA;MAP2K1;AKT3;PARP1;TNFRSF1A;DDIT3,0.7857564666146362,40/54,BIRC2;TNFRSF10A;BOK;TUBA8;NGFR;DAXX;CAPN1;RAF1;TRADD;ENDOG;TUBA1B;NGF;MAP2K2;TRAF2;CTSZ;IKBKG;TUBAL3;LMNB2;MAP3K5;HTRA2;PTPN13;CAPN2;LMNB1;BAK1;GADD45G;SPTA1;FOS;ITPR2;PARP2;IL3;TUBA3C;GADD45A;PIK3CA;CTSK;TUBA1A;MAP2K1;AKT3;PARP1;ERN1;TNFRSF1A,54
Oocyte meiosis,0.18572785884769885,33/48,RPS6KA2;CDC23;CDC16;RBX1;PTTG1;CAMK2D;INS;FBXO5;CCNE1;CALML6;CCNB2;MAPK11;FBXO43;PTTG2;YWHAH;CCNE2;PPP2R5B;SMC3;ITPR3;ANAPC11;ANAPC10;ANAPC2;PPP2R5E;RPS6KA6;PPP3CC;CDC20;CALML4;MAP2K1;BUB1;CDC26;CPEB1;REC8;ADCY4,0.47551848609244707,38/48,ANAPC13;PLCZ1;RPS6KA2;CDC23;CDC16;CALML3;PTTG1;CAMK2D;INS;FBXO5;CCNE1;CALML6;CCNB2;SMC1B;MAPK11;FBXO43;PTTG2;YWHAH;PGR;CCNE2;PPP2R5B;SMC3;ANAPC11;ANAPC10;ANAPC2;ITPR2;RPS6KA6;PRKACG;PPP3CC;CDC20;CALML4;MAP2K1;BUB1;CDC26;CPEB1;REC8;ADCY4;STAG3,48
Lysine degradation,0.19578111980021493,14/19,SMYD1;SUV39H1;EHHADH;ALDH7A1;SETD1A;ALDH9A1;SMYD2;PLOD2;PIPOX;EZH1;PRDM7;DOT1L;AADAT;BBOX1,0.5717143630842458,15/19,SMYD1;SUV39H1;EHHADH;ALDH7A1;SETD1A;ALDH9A1;PLOD2;PIPOX;DOT1L;EZH1;AASS;PRDM7;PLOD1;AADAT;BBOX1,19
Viral myocarditis,0.19702739562991528,12/16,SGCG;HLA-DOB;SGCA;EIF4G1;HLA-DRB1;SGCB;LAMA2;CD40LG;HLA-DRB3;HLA-DRB4;HLA-DMB;ICAM1,0.5014305579459015,13/16,SGCG;DMD;CD28;RAC3;EIF4G1;HLA-DRB1;SGCB;LAMA2;CD40LG;HLA-DRB3;HLA-DRB4;HLA-DMB;ICAM1,16
Glutathione metabolism,0.20795109133623607,25/36,G6PD;RRM1;GCLM;PRDX6;GSTK1;RRM2B;CHAC1;ODC1;GPX6;GSTA2;GPX5;SRM;GPX4;GGCT;GSTA3;CHAC2;GSTA4;GSTA5;GSS;GSTO2;TXNDC12;GSTM2;GSR;GPX2;GPX3,0.8348952200592987,26/36,G6PD;RRM1;GSTM1;GCLM;PGD;NAT8B;GSTP1;PRDX6;MGST3;NAT8;RRM2B;CHAC1;ODC1;GPX6;GSTA2;GGCT;ANPEP;GSTA3;LAP3;CHAC2;GSTA4;MGST2;GSS;GSTO2;GSR;GPX3,36
Prion disease,0.20840569924382596,76/116,NCF4;TUBA8;NDUFS3;DDIT3;COX6B1;NDUFA13;TUBB8;NDUFA11;PSMB4;KIF5B;NDUFB5;BAD;NDUFC1;COX8A;COX7C;CACNA1F;HSPA6;CREB3;UQCRC2;UQCRC1;PPIF;MAPK11;NDUFAB1;PSMA2;COX7B2;NCAM2;CREB3L4;PSMC5;HSPA1L;COX7A2;TUBAL3;UQCRQ;NDUFA8;PSMD4;ITPR3;PSMA4;SDHB;NDUFB11;NOTCH1;COX5B;KIF5A;NDUFA4L2;CCL5;EGR1;NDUFA3;NDUFS8;NDUFA7;C9;RYR3;NDUFS6;CYBA;PSMD6;TUBB2A;PSMD2;NDUFB10;NDUFB8;PPP3CC;PSMD8;TUBA3C;PSMD7;RYR2;NDUFB3;NDUFB1;COX7B;TUBA1A;SLC25A31;GRIN3A;CYC1;PSMB3;CREB3L1;PSMD11;PSMA5;COX6C;PSMC3;COX7A1;PSMD14,0.9237418340372505,84/116,NCF4;TUBA8;UQCRB;COX4I2;COX6B1;TUBB8;PSMB4;TUBA1B;COX8A;COX7C;HSPA6;NDUFA8;SDHB;NOTCH1;KIF5A;NDUFA4L2;GRIN2D;NDUFA7;NDUFA12;RYR2;NDUFB3;GRIN3B;PSMB3;COX7A1;NDUFB2;C1QA;KLC3;PSMA8;NDUFA11;PPIF;PSMA2;COX7B2;NCAM2;COX7A2;PSMD4;CACNA1B;IL1A;NDUFS6;ITPR2;PRKACG;PSMD8;TUBA3C;PSMD7;NDUFB1;COX7B;PIK3CA;TUBA1A;PSMD11;NDUFB5;CACNA1F;CREB3;MAPK11;CREB3L4;TUBAL3;COX6A2;IL1B;C9;RYR3;PSMD6;LAMC1;NDUFB4;NDUFS2;SLC25A31;GRIN3A;GRIN2B;C8B;PSMD2;NDUFS3;PRNP;NDUFA13;PSMC2;UQCRC2;NDUFAB1;PSMC5;UQCRQ;NDUFB11;COX5B;CCL5;CYBA;TUBB2A;NDUFB10;PPP3CC;CYC1;PSMC3,116
Epstein-Barr virus infection,0.2139511403361787,55/83,B2M;MAP3K14;IKBKE;TAP1;TAP2;HLA-DRB3;STAT2;IRF3;HLA-DOB;BLNK;CALR;RIPK1;CCNE1;E2F3;PLCG2;IRF9;MAPK11;SIN3A;CD3G;PSMC3;ICAM1;PSMC5;SNW1;TRAF2;CCNE2;ENTPD1;E2F1;PSMD4;BTK;TLR2;DDB2;MAP2K6;HLA-DRB4;GADD45G;PSMD14;HDAC1;PSMD6;SAP30;IFNA8;PSMD2;PSMD8;PSMD7;SYK;GADD45A;CCNA2;RELB;NFKBIA;HLA-DRB1;MAP2K4;AKT3;PSMD11;HLA-DMB;CD58;IFNA10;NFKBIE,0.6004401738645264,64/83,B2M;IFNA5;IKBKE;TAP1;TAP2;HLA-DRB3;STAT2;IRF3;CALR;PSMC2;CCNE1;EIF2AK2;IFNA6;E2F3;ENTPD8;PLCG2;IRF9;MAPK11;SIN3A;PSMC3;ICAM1;PSMC5;IFNA14;SNW1;TRAF2;CCNE2;IFNA13;IKBKG;E2F1;IFNA4;PSMD4;IFNA21;TLR2;DDB2;MAP2K6;BAK1;HLA-DRB4;GADD45G;ISG15;HDAC1;PSMD6;SAP30;IFNA8;PSMD2;IFNA2;PSMD8;PSMD7;SYK;PIK3CA;GADD45A;CCNA2;RELB;IFNB1;HLA-DRB1;MAP2K4;AKT3;CXCL10;PSMD11;HLA-DMB;CD58;IFNA10;TRADD;NFKBIE;RBPJL,83
Herpes simplex virus 1 infection,0.2265806826469075,136/212,ZNF333;TAP1;ZNF350;HCFC1;DAXX;ZNF418;ZNF565;HLA-DRB3;ZNF416;HLA-DOB;ZNF84;ZNF256;ZNF442;ZNF610;ZNF461;ZNF383;ZFP82;PILRB;ZNF584;TNFRSF14;ZNF74;ZNF746;ZNF530;ZNF57;ZNF560;ZNF415;ZNF225;ZNF566;HLA-DRB1;IFNA10;BIRC2;CCL2;ZNF570;TAP2;STAT2;JAK2;TLR3;ZNF766;ZNF543;ZNF547;ZNF790;IRF9;ZNF114;ZNF124;ZNF669;ZNF227;SRPK1;TNFSF14;ZIK1;PML;ZNF780B;EIF2B5;ZNF41;ZNF793;EIF2B1;SYK;ZNF443;ZNF7;IFIH1;ZNF627;CFP;NXF3;ZNF540;ZNF620;ZNF382;IL12A;ZNF17;ZNF354A;ZNF607;ZNF773;IFNGR1;ZNF624;ZNF556;ZNF573;TSC1;CALR;ZNF689;EIF2B2;ZNF34;ZNF317;ZNF705D;RNASEL;ZNF768;HCFC2;ZNF785;ZNF721;ZNF595;ZNF684;ZNF420;ZNF221;ZNF354C;TLR2;ZNF567;HLA-DRB4;ZNF33B;ZNF43;ZNF559;ZNF670;IFNA8;ZNF132;ZNF91;ZNF718;NFKBIA;AKT3;TNFRSF1A;ZFP14;B2M;IKBKE;ZNF214;ZNF569;ZNF519;ZNF426;IRF3;ZNF182;BAD;ZNF157;ZNF14;ZNF181;ZNF230;ZNF792;IFNGR2;TRAF2;ZNF623;ZNF226;ZNF480;ZNF568;ZNF558;CCL5;ZNF667;ZNF674;EIF4EBP1;TLR9;ZNF528;NXF5;ZNF582;HLA-DMB,0.30891384281415524,168/212,IFNA5;ZNF333;TAP1;ZNF350;HCFC1;DAXX;ZNF418;ZNF212;ZNF565;HLA-DRB3;ZNF416;ZNF84;ZNF256;ZNF442;ZNF610;IFNA6;ZNF676;ZNF383;ZNF85;PILRB;ZNF584;IFNA4;ZNF709;TNFRSF14;ZNF74;ZNF746;ZNF530;ZNF57;ZNF44;ZNF560;ZNF415;ZNF225;ZNF566;IFNB1;HLA-DRB1;IFNA10;TRADD;BIRC2;CCL2;ZNF570;TAP2;STAT2;JAK2;ZNF175;TLR3;ZNF766;ZNF543;ZNF300;ZNF547;ZNF790;IRF9;ZNF114;ZNF124;ZNF669;ZNF701;ZNF433;ZNF334;BST2;ZNF613;ZNF227;SRPK1;TNFSF14;ZIK1;BAK1;PML;ZNF780B;EIF2B5;ZNF41;ZNF793;SYK;PIK3CA;ZNF443;IFIH1;ZNF234;CFP;ZNF540;ZNF583;ZNF620;ZNF382;IL12A;ZNF17;ZNF354A;ZNF607;ZNF354B;IFNGR1;ZNF624;ZNF556;ZNF573;TSC1;CALR;ZNF689;EIF2B2;ZNF208;ZNF34;ZNF317;ZNF705D;RNASEL;ZNF282;ZNF768;HCFC2;ZNF785;ZNF721;ZNF684;ZNF420;ZNF221;ZNF772;IFNA13;ZNF354C;IKBKG;ITGA5;ZNF155;IFNA21;TLR2;ZNF567;HLA-DRB4;IL1B;ZNF670;IFNA8;ZNF132;ZNF91;ZNF718;AKT3;ZNF133;TNFRSF1A;ZFP14;B2M;IKBKE;ZNF214;ZNF569;ZNF519;ZNF549;ZNF426;EIF2B3;IRF3;ZNF182;ZNF585B;ZNF157;ZNF14;EIF2AK2;ZNF786;ZNF181;ZNF230;ZNF792;ZNF675;ZNF19;IFNGR2;IFNA14;TRAF2;ZNF439;ZNF623;ZNF480;LTA;ZNF568;ZNF517;ZNF558;CCL5;ZFP37;ZNF667;EIF4EBP1;IFNA2;ZNF528;ZNF140;NXF5;ZNF454;ZNF582;ZNF398;HLA-DMB;ZNF184,212
Human T-cell leukemia virus 1 infection,0.22714706063325005,51/77,GPS2;B2M;MAP3K14;DLG1;CDC23;HLA-DRB3;CDC16;PTTG1;TNFRSF1A;HLA-DOB;CALR;ZFP36;CCNE1;CCNB2;CREB3;E2F3;MAP2K2;CD3G;CREB3L4;ICAM1;PTTG2;EGR2;CCNE2;E2F1;ANAPC11;IL2RB;ANAPC10;ANAPC2;EGR1;HLA-DRB4;HLA-DMB;FOS;BUB1B;PPP3CC;CDC20;TRRAP;SLC25A31;ATR;RELB;HLA-DRB1;MAP2K4;NFKBIA;AKT3;CDC26;MAP2K1;CREB3L1;CHEK1;ADCY4;IL2RG;NFATC4;CCNA2,0.8753439703406369,56/77,GPS2;B2M;TNFRSF13C;DLG1;CDC23;HLA-DRB3;CDC16;TBP;PTTG1;CALR;CCNE1;CCNB2;CREB3;E2F3;MAP2K2;CD4;CREB3L4;PTTG2;ICAM1;EGR2;CCNE2;IKBKG;CDKN2C;E2F1;LTA;ANAPC11;IL2RB;ANAPC10;ANAPC2;LTBR;HLA-DRB4;SMAD4;HLA-DMB;FOS;BUB1B;PRKACG;CRTC3;KAT2A;PPP3CC;CDC20;TRRAP;PIK3CA;SLC25A31;ATR;RELB;HLA-DRB1;MAP2K4;AKT3;MAP2K1;CDC26;CHEK1;ADCY4;MMP7;TNFRSF1A;NFATC4;CCNA2,77
Basal transcription factors,0.23297027304252596,17/24,TAF12;GTF2E1;GTF2F1;TAF1L;TAF7;GTF2B;CDK7;GTF2A2;GTF2E2;CCNH;TAF6L;TAF10;GTF2H1;GTF2H5;GTF2H4;TAF4;TAF5L,0.3469015456205035,20/24,TAF5L;GTF2H5;TAF11;TBP;GTF2F1;GTF2A2;CCNH;TAF10;ERCC3;TAF1L;GTF2B;TAF7L;GTF2E2;GTF2H3;GTF2H4;TAF7;CDK7;TAF6L;TAF13;TAF4,24
Proteasome,0.23297027304252596,17/24,PSMD6;PSMB8;PSMD2;PSMC3;PSMD8;PSMD4;PSMB10;PSMD7;PSMA4;PSME4;PSMA5;PSMD14;PSMB3;PSMD11;PSMA2;PSMC5;PSMB4,0.9726218088900778,15/24,PSME3;PSMC2;PSMD6;PSMD2;PSMC3;PSMD8;PSMD4;PSMD7;PSME4;PSMB3;PSMD11;PSMA2;PSMA8;PSMC5;PSMB4,24
cGMP-PKG signaling pathway,0.24152990521766426,47/71,NPPC;ADRA1D;ATP2A1;ATP1A3;PIK3CG;TRPC6;IRS1;GNAI3;RAF1;PDE3B;BAD;NPPA;KCNMB4;INS;GNAI1;ADRB2;CALML6;ADRB3;ATP1B2;CACNA1F;CREB3;PPIF;MAP2K2;GATA4;CREB3L4;BDKRB2;ATP1A2;ADRA2C;RGS2;ITPR3;MYLK2;ADRA2B;ADRA1A;NPPB;KCNMB3;PDE2A;PPP3CC;CALML4;SLC25A31;MAP2K1;ATP1A1;ADRB1;AKT3;ATP1B3;CREB3L1;ADCY4;NFATC4,0.9658854843763404,49/71,NPPC;ATP1B4;ADRA1D;ATP1A3;PIK3CG;TRPC6;IRS1;RAF1;CALML3;PDE3B;NPR1;NPPA;KCNMB4;INS;GNAI1;ADRB2;CALML6;ATP1B2;CACNA1F;PRKG2;CREB3;PPIF;MAP2K2;GATA4;CREB3L4;IRS4;BDKRB2;ATP1A2;ADRA2C;MYLK2;SLC8A2;ADRA1A;GNAI2;NPPB;ITPR2;KCNMB3;PDE2A;PPP3CC;CALML4;SLC25A31;MAP2K1;ATP1A1;ADRB1;AKT3;ATP1B3;OPRD1;ADCY4;NFATC4;PLCB3,71
TNF signaling pathway,0.24192564301937416,33/49,MMP9;BIRC2;RIPK3;MAP3K14;CCL2;DNM1L;RIPK1;IRF1;CREB3;MAPK11;TNFRSF1B;ICAM1;EDN1;CREB3L4;TRAF2;JAG1;CCL20;MAP3K5;SELE;CCL5;MAP2K6;FOS;MMP14;BCL3;NFKBIA;MAP2K4;MAP2K1;AKT3;MAP3K8;CREB3L1;NOD2;TNFRSF1A;RPS6KA4,0.5808574751976466,38/49,MMP9;BIRC2;RIPK3;CCL2;CXCL1;TNFRSF1A;DNM1L;CREB3;MAPK11;TNFRSF1B;ICAM1;EDN1;CREB3L4;TRAF2;JAG1;CCL20;CXCL6;IKBKG;MAP3K5;LTA;MMP3;SELE;CCL5;MAP2K6;IL1B;FOS;MMP14;BCL3;PIK3CA;CXCL10;IFNB1;MAP2K4;MAP2K1;AKT3;MAP3K8;NOD2;TRADD;RPS6KA4,49
AMPK signaling pathway,0.24192564301937416,33/49,PRKAA1;PFKM;GYS1;IRS1;LIPE;PRKAG1;FBP2;TSC1;RPS6KB2;INS;RAB2A;FASN;CREB3;CREB3L4;PPP2R5B;ADRA1A;PFKFB4;PPP2R5E;FBP1;PPP2R2B;EIF4EBP1;CPT1C;PPP2R2A;EEF2;RAB11B;AKT3;PPP2R3B;LEPR;CREB3L1;CAB39;PRKAB1;LEP;CCNA2,0.7052595905278987,37/49,PFKM;GYS1;IRS1;TSC1;FBP2;RPS6KB2;INS;RAB2A;FASN;CREB3;G6PC2;CFTR;CREB3L4;IRS4;PPP2R5B;ADRA1A;CPT1A;PFKFB4;PPP2R2D;FBP1;PPP2R2B;SIRT1;G6PC3;EIF4EBP1;CPT1C;PRKAG3;PPP2R2A;PIK3CA;EEF2;RAB11B;AKT3;PPP2R3B;LEPR;CAB39;PRKAB1;LEP;CCNA2,49
Thyroid hormone synthesis,0.24569119159425915,24/35,ATP1A3;SLC5A5;DUOX1;DUOXA2;ATP1B2;CREB3;GPX6;GPX5;CREB3L4;ATP1A2;TG;PDIA4;ITPR3;TPO;PRKCG;TTF1;TTR;GSR;ATP1A1;GPX2;ATP1B3;CREB3L1;GPX3;ADCY4,0.9653226155964129,23/35,ATP1B4;ATP1A3;DUOXA2;LRP2;ATP1B2;CREB3;GPX6;CREB3L4;TG;ATP1A2;PDIA4;SLC26A4;TPO;TTF1;ITPR2;PRKACG;GSR;ATP1A1;ATP1B3;GPX3;ADCY4;TSHB;PLCB3,35
Glycosaminoglycan biosynthesis,0.24569119159425915,24/35,B4GALT7;HS3ST5;B3GNT2;B3GAT3;B4GALT1;B3GALT6;EXTL1;CHST12;UST;B4GALT3;EXT1;CHST11;EXTL2;DSE;NDST2;CHST6;B4GALT4;NDST3;NDST4;CHST13;NDST1;HS3ST2;CHPF;XYLT2,0.08015068528349516,31/35,B4GALT7;HS3ST5;B3GNT2;B3GAT3;B3GNT7;GLCE;CHST4;B3GALT6;EXTL1;CHST12;CHST2;UST;B4GALT3;EXT1;HS3ST3A1;CHST11;EXTL2;HS6ST2;DSE;NDST2;CHST6;CHST3;B4GALT4;NDST3;NDST4;CHST7;CHST13;NDST1;HS3ST2;CHPF;XYLT2,35
Small cell lung cancer,0.24569119159425915,24/35,RXRB;LAMB1;CCNE1;E2F3;LAMB4;TRAF2;LAMB2;CCNE2;LAMA3;E2F1;COL4A4;LAMA2;DDB2;COL4A5;GADD45G;LAMC3;CKS2;ITGA6;ZBTB17;GADD45A;NFKBIA;COL4A2;AKT3;BIRC2,0.008288165064446363,33/35,RXRG;RXRB;LAMB1;CCNE1;E2F3;LAMA5;COL4A3;LAMB3;LAMB4;TRAF2;LAMB2;CCNE2;IKBKG;LAMA3;E2F1;COL4A4;TRAF4;LAMA2;LAMC2;DDB2;COL4A5;BAK1;GADD45G;CKS2;LAMC3;LAMC1;ITGA6;ZBTB17;GADD45A;PIK3CA;COL4A2;AKT3;BIRC2,35
Alzheimer disease,0.24595725249329337,103/160,DKK1;RTN4;TUBA8;COX6B1;IDE;TUBB8;SNCA;PSMB4;FZD3;COX8A;CALML6;COX7C;ARAF;BRAF;NDUFA8;SDHB;FZD10;KIF5A;NDUFA4L2;NDUFA7;NDUFB3;PSMB3;APH1B;COX7A1;FRAT1;PSENEN;IRS1;CAPN1;NDUFA11;PIK3R4;GAPDH;PPIF;COX7B2;PSMA2;COX7A2;PSMD4;MAP3K5;FZD8;ATF6;NDUFS6;NDUFB8;LRP5;TUBA3C;PSMD8;NDUFB1;PSMD7;COX7B;CALML4;TUBA1A;PSMD11;PSMD14;ATP2A1;KIF5B;NDUFB5;INS;CACNA1F;UQCRC1;GPR83;FZD9;TUBAL3;PSMA4;CAPN2;PIK3C3;NDUFS8;RYR3;WNT5B;PSMD6;FRAT2;SLC25A31;AKT3;WNT5A;COX6C;TNFRSF1A;DDIT3;PSMD2;RB1CC1;NCSTN;NDUFS3;RAF1;NDUFA13;NDUFC1;BAD;LPL;UQCRC2;NDUFAB1;MAP2K2;PSMC5;TRAF2;UQCRQ;ITPR3;NDUFB11;COX5B;NDUFA3;TUBB2A;ULK2;NDUFB10;CDK5R1;PPP3CC;CYC1;MAP2K1;FZD2;PSMA5;PSMC3,0.8115029249372316,120/160,DKK1;RTN4;TUBA8;UQCRB;COX4I2;COX6B1;IDE;ADAM10;CDK5;TUBB8;SNCA;PSMB4;DKK4;TUBA1B;COX8A;CALML6;COX7C;ARAF;BRAF;NDUFA8;SDHB;FZD10;KIF5A;NDUFA4L2;NOX1;GRIN2D;NDUFA7;NDUFA12;NDUFB3;PSMB3;COX7A1;FRAT1;NDUFB2;CHRM1;PSENEN;KLC3;IRS1;CAPN1;PSMA8;NDUFA11;WNT3A;PIK3R4;WNT8B;GAPDH;PPIF;COX7B2;PSMA2;IRS4;COX7A2;PSMD4;MAP3K5;IL1A;FZD8;ATF6;NDUFS6;ITPR2;LRP5;TUBA3C;PSMD8;NDUFB1;PSMD7;PIK3CA;CALML4;COX7B;TUBA1A;WNT9B;PSMD11;ERN1;NDUFB5;INS;CACNA1F;WNT16;FZD9;WNT2B;TUBAL3;CAPN2;COX6A2;PIK3C3;IL1B;CHRM5;RYR3;WNT5B;PSMD6;NDUFB4;NDUFS2;SLC25A31;GRIN2B;AKT3;WNT5A;TNFRSF1A;PSMD2;RB1CC1;WNT7A;CSNK1A1L;NDUFS3;CALML3;RAF1;NDUFA13;PSMC2;LPL;EIF2AK2;UQCRC2;NDUFAB1;MAP2K2;PSMC5;TRAF2;NRBF2;UQCRQ;LRP6;WIPI1;NDUFB11;COX5B;TUBB2A;ULK2;NDUFB10;PPP3CC;CYC1;MAP2K1;PSMC3;PLCB3,160
Aldosterone synthesis and secretion,0.25006437036856927,31/46,ATP1A3;DAGLA;ATF1;LIPE;DAGLB;NPPA;HSD3B2;CAMK2D;CALML6;CYP11B2;AGT;ATP1B2;MC2R;CACNA1F;CREB3;CREB3L4;ATP1A2;CAMK1D;CAMK4;ITPR3;CYP21A2;PRKCG;NR4A2;PDE2A;CALML4;CYP11A1;ATP1A1;ATP1B3;CREB3L1;ADCY4;CACNA1G,0.8687604215717242,33/46,ATP1B4;ATP1A3;DAGLA;CALML3;NPR1;NPPA;HSD3B2;CAMK2D;CALML6;ATP1B2;CACNA1F;MC2R;CREB3;PRKD1;POMC;CREB3L4;ATP1A2;CACNA1G;CAMK1D;CAMK4;CYP21A2;NR4A2;ITPR2;PRKACG;CAMK1;PDE2A;CALML4;CYP11A1;KCNK9;ATP1A1;ATP1B3;ADCY4;PLCB3,46
Cellular senescence,0.2506371386356937,38/57,CAPN1;RAF1;LIN54;TSC1;CALML6;CCNE1;CCNB2;CCNB3;E2F3;MAPK11;RASSF5;RAD1;MAP2K2;GATA4;HIPK1;CCNE2;MYBL2;E2F1;ITPR3;RRAS2;CAPN2;ZFP36L2;LIN37;MAP2K6;HUS1;GADD45G;SQSTM1;EIF4EBP1;PPP3CC;GADD45A;CALML4;SLC25A31;ATR;MAP2K1;AKT3;CHEK1;NFATC4;CCNA2,0.3500678134515286,46/57,CAPN1;CALML3;RAF1;LIN54;TSC1;CALML6;CCNE1;CCNB2;CCNB3;HIPK2;E2F3;MAPK11;MAP2K2;RAD1;GATA4;HIPK1;CCNE2;MYBL2;E2F1;RRAS2;HIPK4;CAPN2;ZFP36L2;IL1A;MAP2K6;HUS1;GADD45G;SIRT1;SQSTM1;EIF4EBP1;ITPR2;PPP3CC;GADD45A;PIK3CA;CALML4;SLC25A31;ATR;MAP2K1;RAD9B;AKT3;CHEK1;TRPV4;TRAF3IP2;NFATC4;CCNA2;SERPINE1,57
Fructose and mannose metabolism,0.2518163102918671,11/15,KHK;PFKM;FBP2;PMM1;ALDOC;PMM2;PFKFB4;FBP1;TPI1;GMDS;FPGT,0.7677339708401556,11/15,PFKM;FBP2;PMM1;ALDOC;FPGT;PFKFB4;FBP1;TPI1;GMDS;PMM2;AKR1B1,15
Inositol phosphate metabolism,0.25406299954771133,22/32,MIOX;PI4K2B;PIK3CG;MTMR7;PLCD4;PIK3C2A;SACM1L;PLCG2;MTMR3;INPPL1;IMPA2;PIK3C3;PIP5KL1;IPMK;PIP5K1B;ITPKB;PIK3C2B;INPP4A;ALDH6A1;TPI1;MINPP1;FIG4,0.24443816306380237,27/32,CDIPT;PLCZ1;PI4K2B;PIK3CG;MTMR8;MTMR7;PLCD4;PIK3C2A;SACM1L;IPPK;PLCG2;PIK3C2G;MTMR3;INPPL1;ITPKA;PIK3C3;PIP5KL1;IPMK;PIP5K1B;PIK3CA;INPP4A;ALDH6A1;PLCD3;TPI1;MINPP1;FIG4;PLCB3,32
Leishmaniasis,0.26292649887933894,20/29,IL12A;NCF4;IFNGR1;HLA-DRB3;JAK2;HLA-DOB;ITGA4;MAPK11;EEF1A2;IFNGR2;FCGR2A;TLR2;MARCKSL1;HLA-DRB4;CYBA;FOS;NFKBIA;HLA-DRB1;ITGAM;HLA-DMB,0.9827127334142056,18/29,IL12A;NCF4;IL1B;EEF1A2;IFNGR1;TLR2;HLA-DRB1;HLA-DMB;ITGAM;MAPK11;HLA-DRB3;IL1A;MARCKSL1;JAK2;IFNGR2;CYBA;FOS;HLA-DRB4,29
ErbB signaling pathway,0.27234117614984865,18/26,RPS6KB2;BAD;CAMK2D;NCK1;PAK6;BRAF;PRKCG;PLCG2;ARAF;SHC3;MAP2K2;RAF1;NRG4;MAP2K4;MAP2K1;AKT3;NRG2;EIF4EBP1,0.7885723343339204,19/26,RAF1;SOS1;RPS6KB2;CAMK2D;PLCG2;ARAF;SHC3;MAP2K2;NCK1;PAK6;BRAF;NRG4;EIF4EBP1;PIK3CA;MAP2K4;MAP2K1;AKT3;NRG2;EGF,26
