set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
Pentose phosphate pathway,0.11613386290848705,14/18,G6PD;RPIA;PFKM;TKTL2;DERA;RBKS;ALDOC;GPI;TKT;PGM2;FBP1;PRPS1L1;FBP2;PGM1,0.40000271842354024,15/18,G6PD;TKTL1;PFKM;TKTL2;DERA;RBKS;ALDOC;GPI;PGD;PGM2;TKT;FBP1;PRPS1L1;FBP2;PGM1,18
Arrhythmogenic right ventricular cardiomyopathy,0.1186939359148071,30/42,ATP2A1;SGCA;CACNG4;SGCB;ITGA8;ITGB5;ITGA4;CACNA1F;ITGB6;CACNG1;EMD;ITGB7;CACNB4;CACNG5;LAMA2;CDH2;DES;SGCG;ITGA6;DSG2;CACNG2;RYR2;CACNG6;CACNG3;CACNA2D4;TCF7L1;CACNG8;ITGA11;ITGA7;ACTN3,0.665350348612862,32/42,CTNNA3;CACNG4;SGCB;ITGA1;ACTN2;ITGA8;ITGB5;DMD;CACNA1F;ITGB6;CACNG1;EMD;CACNA2D1;CACNB4;ITGA10;ITGA5;SLC8A2;LAMA2;CDH2;SGCG;ITGA6;DSG2;CACNG2;RYR2;CACNG6;CACNG3;CACNA2D4;TCF7L1;CACNG8;ITGA11;ITGA7;ACTN3,42
Adrenergic signaling in cardiomyocytes,0.1203190944405393,45/65,ADRA1D;ATP2A1;ATP1A3;PIK3CG;CACNG4;MYL2;GNAI3;SCN7A;TNNI3;CREM;CAMK2D;GNAI1;ADRB2;CALML6;AGT;ATP1B2;CACNA1F;CREB3;MAPK11;CACNG1;CREB3L4;ATP1A2;CACNB4;PPP2R5B;CACNG5;ADRA1A;PPP2R5E;PPP2R2B;PPP2R2A;CACNG6;RYR2;CALML4;CACNG2;CACNG3;CACNA2D4;SLC9A1;CACNG8;ADRB1;PPP2R3B;ATP1B3;ATP1A1;AKT3;SCN4B;ADCY4;CREB3L1,0.8771628905905974,47/65,ATP1B4;ADRA1D;ATP1A3;PIK3CG;CACNG4;MYL2;SCN7A;CALML3;TNNI3;CREM;CAMK2D;GNAI1;ADRB2;CALML6;ATP1B2;CACNA1F;CREB3;MAPK11;CACNG1;CREB3L4;ATP1A2;CACNA2D1;CACNB4;PPP2R5B;SLC8A2;ADRA1A;PPP2R2D;GNAI2;PPP2R2B;TNNC1;PRKACG;PPP2R2A;CACNG6;RYR2;CALML4;CACNG2;CACNG3;CACNA2D4;SLC9A1;CACNG8;ADRB1;PPP2R3B;ATP1B3;ATP1A1;AKT3;ADCY4;PLCB3,65
Oxidative phosphorylation,0.12307342425363907,43/62,NDUFS3;COX6B1;ATP6V1D;ATP6V1B1;TCIRG1;NDUFA13;COX17;NDUFA11;ATP6V0A2;NDUFB5;NDUFC1;COX8A;COX7C;UQCRC2;ATP6V1G2;UQCRC1;NDUFAB1;COX7B2;COX7A2;UQCRQ;NDUFA8;ATP6V0D1;SDHB;NDUFB11;ATP6V1G3;PPA1;COX5B;NDUFA4L2;NDUFA3;NDUFS8;NDUFA7;NDUFS6;NDUFB10;NDUFB8;NDUFB1;NDUFB3;COX7B;CYC1;ATP6V1B2;ATP6V0E2;ATP6V1E1;COX6C;COX7A1,0.7885546841008063,46/62,NDUFB2;UQCRB;NDUFS3;COX4I2;COX6B1;ATP6V1B1;NDUFA13;COX17;ATP6V0E1;NDUFA11;ATP4A;NDUFB5;ATP6V1E2;ATP6V0A2;COX8A;COX7C;ATP4B;UQCRC2;ATP6V1G2;NDUFAB1;ATP6V1G1;COX7B2;COX7A2;UQCRQ;NDUFA8;ATP6V0D1;SDHB;COX6A2;NDUFB11;PPA1;COX5B;NDUFA4L2;NDUFA7;NDUFS6;NDUFA12;NDUFB4;NDUFB10;NDUFB1;NDUFB3;COX7B;NDUFS2;CYC1;ATP6V1B2;ATP6V0E2;ATP6V1E1;COX7A1,62
Dilated cardiomyopathy,0.13720964475880557,33/47,ATP2A1;SGCA;CACNG4;MYL2;SGCB;TNNI3;ITGA8;ITGB5;ITGA4;AGT;CACNA1F;ITGB6;CACNG1;EMD;ITGB7;CACNB4;CACNG5;LAMA2;DES;SGCG;MYBPC3;ITGA6;CACNG2;RYR2;CACNG6;CACNG3;CACNA2D4;ITGA11;CACNG8;ADRB1;TTN;ITGA7;ADCY4,0.9136105703575308,33/47,CACNG4;MYL2;SGCB;ITGA1;TNNI3;ITGA8;ITGB5;DMD;CACNA1F;ITGB6;CACNG1;EMD;CACNA2D1;CACNB4;ITGA10;ITGA5;SLC8A2;LAMA2;TNNC1;SGCG;PRKACG;ITGA6;CACNG2;RYR2;CACNG6;CACNG3;CACNA2D4;ITGA11;CACNG8;ADRB1;TTN;ITGA7;ADCY4,47
Phagosome,0.14345836977296514,42/61,SEC61A1;RAB5B;NCF4;TUBA8;STX12;MSR1;TAP1;TAP2;ATP6V1B1;ATP6V1D;HLA-DRB3;TCIRG1;HLA-DOB;TUBB8;CALR;ATP6V0A2;ITGB5;ATP6V1G2;MARCO;TFRC;TUBAL3;FCGR2A;DYNC1H1;ATP6V0D1;TLR2;ATP6V1G3;PIK3C3;HLA-DRB4;CYBA;TUBB2A;LAMP2;COLEC12;TUBA3C;C1R;TUBA1A;ATP6V1B2;HLA-DRB1;ITGAM;ATP6V0E2;ATP6V1E1;HLA-DMB;STX7,0.36695726804663437,49/61,SEC61A1;RAB5B;THBS3;NCF4;TUBA8;STX12;TAP1;TAP2;ATP6V1B1;HLA-DRB3;OLR1;TUBB8;ATP6V0E1;CALR;ATP6V1E2;ITGB5;ATP6V0A2;TUBA1B;CLEC7A;MRC2;FCGR2B;ATP6V1G2;ATP6V1G1;MARCO;TUBAL3;ITGA5;DYNC1H1;ATP6V0D1;TLR2;PIK3C3;HLA-DRB4;HLA-DMB;CYBA;TUBB2A;SEC22B;LAMP2;COLEC12;TUBA3C;C1R;TUBA1A;ATP6V1B2;HLA-DRB1;THBS2;ITGAM;ATP6V0E2;ATP6V1E1;SFTPD;MPO;STX7,61
Pathways of neurodegeneration,0.1460147631944768,128/196,GABARAP;DKK1;TUBA8;DAXX;COX6B1;DNAL4;TUBB8;SNCA;PSMB4;FZD3;COX8A;CALML6;UBA7;COX7C;ARAF;BRAF;NDUFA8;DNALI1;SDHB;PRKCG;FZD10;WDR41;KIF5A;NDUFA4L2;MAP2K6;DCTN5;NDUFA7;RYR2;NDUFB3;PSMB3;C9ORF72;SLC6A3;COX7A1;FIG4;SNCAIP;FRAT1;DCTN2;CAPN1;NDUFA11;CAMK2D;PIK3R4;GPX6;PPIF;COX7B2;PSMA2;COX7A2;DNAH2;PSMD4;MAP3K5;FZD8;DNAH9;ATF6;NDUFS6;NDUFB8;LRP5;TUBA3C;PSMD8;PSMD7;NDUFB1;COX7B;CALML4;TUBA1A;PSMD11;PSMD14;ATP2A1;SPTBN2;PRPH;KIF5B;NDUFB5;CACNA1F;UQCRC1;UBA52;MAPK11;TNFRSF1B;FZD9;TUBAL3;PSMA4;CAPN2;PIK3C3;TANK;NDUFS8;RYR3;WNT5B;PSMD6;FRAT2;SLC25A31;GPX3;WNT5A;COX6C;TNFRSF1A;DDIT3;FUS;PSMD2;ACTR1B;RB1CC1;NDUFS3;RAF1;NDUFA13;NDUFC1;BAD;TRAP1;UQCRC2;NDUFAB1;MAP2K2;GPX5;PSMC5;TRAF2;UQCRQ;ITPR3;HTRA2;NDUFB11;GRIA1;COX5B;ATXN2;NDUFA3;SQSTM1;TUBB2A;ULK2;NDUFB10;CDK5R1;PPP3CC;CYC1;MAP2K1;GPX2;DNAL1;FZD2;PSMA5;PSMC3,0.927680181879217,144/196,GABARAP;DKK1;TUBA8;UQCRB;DNAI1;COX4I2;COX6B1;DAXX;DNAL4;CDK5;TUBB8;SNCA;PSMB4;DKK4;TUBA1B;COX8A;CALML6;COX7C;ARAF;BRAF;NDUFA8;DNALI1;SDHB;FZD10;KIF5A;NDUFA4L2;NOX1;GRIN2D;MAP2K6;DCTN5;NDUFA7;NDUFA12;RYR2;NDUFB3;PSMB3;C9ORF72;SLC6A3;COX7A1;FIG4;FRAT1;UBE2J1;NDUFB2;CHRM1;KLC3;DCTN2;CAPN1;PSMA8;NDUFA11;WNT3A;CAMK2D;PIK3R4;WNT8B;GPX6;PPIF;COX7B2;PSMA2;COX7A2;DNAH2;PSMD4;MAP3K5;CACNA1B;IL1A;FZD8;BAK1;ATF6;DNAH9;NDUFS6;ITPR2;LRP5;TUBA3C;PSMD8;PSMD7;NDUFB1;COX7B;CALML4;WNT9B;TUBA1A;PSMD11;ERN1;SPTBN2;PRPH;NDUFB5;CACNA1F;UBA52;MAPK11;TNFRSF1B;WNT16;FZD9;WNT2B;TUBAL3;CAPN2;COX6A2;PIK3C3;TANK;IL1B;CHRM5;RYR3;WNT5B;PSMD6;NDUFB4;NDUFS2;SLC25A31;GRIN2B;CCS;GPX3;WNT5A;TNFRSF1A;PSMD2;FUS;ACTR1B;RB1CC1;WNT7A;CSNK1A1L;NDUFS3;PRNP;CALML3;RAF1;NDUFA13;UBE2L6;PSMC2;TRAP1;UQCRC2;NDUFAB1;MAP2K2;PSMC5;TRAF2;NRBF2;UQCRQ;LRP6;HTRA2;WIPI1;NDUFB11;COX5B;ATXN2;SQSTM1;TUBB2A;ULK2;NDUFB10;PPP3CC;CYC1;MAP2K1;DNAL1;PSMC3;PLCB3,196
Pyrimidine metabolism,0.15213219441983006,21/29,RRM1;UPP2;CTPS2;TK1;CAD;TYMS;DHODH;RRM2B;UCKL1;ENPP3;ENPP1;ENTPD1;UPB1;CMPK2;NT5M;UCK2;ENTPD4;NME3;UMPS;NME7;NT5C1A,0.3396118638320392,24/29,RRM1;UPP2;CTPS2;TK1;CAD;TYMS;DHODH;ENTPD5;NME6;RRM2B;ENTPD6;ENTPD8;UCKL1;ENPP3;ENPP1;UMPS;CDA;CMPK2;NT5M;UCK2;UCK1;UPB1;NME7;NT5C1A,29
Other types of O-glycan biosynthesis,0.15216287602767004,13/17,GALNT8;GALNT12;GALNT14;C1GALT1;B4GALT1;GALNTL5;B4GALT3;GALNT7;LFNG;GALNT9;GALNT2;POFUT1;ST6GAL2,0.9345709677349698,11/17,GALNT8;C1GALT1;GALNT14;GALNTL5;GALNT7;LFNG;GALNT9;GALNT5;B4GALT3;POFUT1;ST6GAL2,17
Diabetic cardiomyopathy,0.15311167262169464,56/83,MMP9;G6PD;PDK3;ATP2A1;NCF4;GYS1;PDK2;IRS1;NDUFS3;COX6B1;NDUFA13;TNNI3;NDUFA11;NDUFB5;NDUFC1;CAMK2D;INS;COX8A;COX7C;AGT;UQCRC2;GAPDH;PPIF;UQCRC1;MAPK11;NDUFAB1;TBC1D4;COX7B2;CPT2;PDHA1;COX7A2;UQCRQ;NDUFA8;SDHB;PRKCG;NDUFB11;COX5B;NDUFA4L2;NDUFA3;NDUFS8;NDUFA7;CYBA;NDUFS6;NDUFB10;NDUFB8;NDUFB1;RYR2;NDUFB3;COX7B;GSR;SLC25A31;CYC1;AKT3;PARP1;COX6C;COX7A1,0.9364047325471718,59/83,MMP9;G6PD;PDK3;NDUFB2;NCF4;GYS1;UQCRB;IRS1;NDUFS3;COX4I2;COX6B1;NDUFA13;TNNI3;NDUFA11;NDUFB5;CAMK2D;INS;COL1A1;COX8A;COX7C;UQCRC2;GAPDH;PPIF;MAPK11;NDUFAB1;CPT2;TBC1D4;COX7B2;PDHA2;PDHA1;GFPT2;COX7A2;UQCRQ;NDUFA8;SDHB;COX6A2;NDUFB11;COX5B;NDUFA4L2;NDUFA7;CYBA;NDUFS6;NDUFA12;NDUFB4;NDUFB10;NDUFB1;RYR2;NDUFB3;COX7B;GSR;PIK3CA;NDUFS2;SLC25A31;CYC1;AKT3;PARP1;CMA1;COX7A1;PLCB3,83
