set,Real_P,Real_Overlap,Real_Genes,Syn_P,Syn_Overlap,Syn_Genes,Genes
regulation of exit from mitosis (GO:0007096),0.11989991871081958,16/21,BUB1B;KNTC1;CDC20;ANLN;ANAPC11;CDC14B;ANAPC10;CDC23;ANAPC2;UBA52;CDC26;CDC16;SIRT2;CDCA5;PHB2;CDC14A,0.0352698521108711,18/21,BUB1B;KNTC1;ANAPC4;CDC20;ANLN;ANAPC11;CDC14B;MAD2L1BP;CDC23;ANAPC10;UBA52;CDC26;CDC16;SIRT2;CDCA5;PHB2;CDC14A;CDC27,21
positive regulation of DNA metabolic process (GO:0051054),0.11989991871081958,16/21,DHX36;WRN;SMOC2;RNF168;TMEM161A;ERCC6;ZCWPW1;TRIM28;PML;SIRT6;RPS3;EYA4;UIMC1;CEBPG;FGF10;EYA1,0.09740605003501096,17/21,DHX36;WRN;SMOC2;RNF168;TMEM161A;WT1;SIRT6;TRIM28;PML;RTEL1;RPS3;EYA4;UIMC1;CEBPG;DNMT3L;FGF10;EYA1,21
regulation of mitotic cell cycle (GO:0007346),0.12049331134138139,56/82,XPC;PSMB8;CDKN1C;TTLL12;BTG4;HECA;HSF1;CDC23;RNF40;UBD;THAP1;CDC16;RPRM;PSMB4;FBXO5;BTG2;GBF1;TFAP4;RCC1;PIM3;KIF20B;PIN1;MKI67;PSMA2;RNF20;PSMC5;FBXO43;OBSL1;PSMD4;ANAPC11;PSMA4;NEK11;ANAPC10;ANAPC2;SDCBP;PSMB10;CKS2;EIF4EBP1;BUB1B;PSMD6;PSMD2;PSMD8;SMOC2;NEK6;PSMD7;CDC20;PSME4;PSMA5;IQGAP1;PSMB3;CDC26;PSMD11;CCDC8;PSMC3;PSMD14;DLGAP5,0.008636441461197235,64/82,PSMB8;CDKN1C;IL10;PSMD11;TTLL12;HECA;HSF1;CDC23;RNF40;UBD;CDC16;CUL7;PSMA8;RPRM;PSMB4;FBXO5;BTG2;GBF1;TFAP4;PSMB6;RCC1;ERCC3;PIM3;KIF20B;PIN1;PSMA2;RNF20;PSMC5;FBXO43;OBSL1;ANAPC4;PSMD4;PDXP;ANAPC11;PSMA4;NEK11;NEK7;ANAPC10;SDCBP;TGFB1;RFPL1;CKS2;PSME2;EIF4EBP1;BTG3;BUB1B;PSMD6;PSME3;PSMD2;CDC27;PSMD8;SMOC2;CDC20;PSMD7;PSME4;PSMA5;IQGAP1;PSMB3;CDC26;CCDC57;MKI67;PSMC3;PSMD14;DLGAP5,82
metal ion homeostasis (GO:0055065),0.1219797584837431,18/24,CNNM2;SLC12A5;TRPV6;CYP27B1;CNNM4;WFS1;CYP11B2;SLC12A6;LETM2;LETM1;ATP6V1B1;KCNH2;TFAP2B;TMTC2;SLC12A8;S100A14;SLC12A4;SNCA,0.2202043951202185,18/24,CNNM2;SLC12A5;TRPV6;CYP27B1;CNNM4;WFS1;TRPV5;CYP11B2;SLC12A6;SCNN1A;LETM1;ATP6V1B1;KCNH2;TFAP2B;TMTC2;SLC12A8;SLC12A4;SNCA,24
positive regulation of cellular protein localization (GO:1903829),0.1219797584837431,18/24,GPR137B;TYROBP;PRKAA1;INS;TFRC;NUMA1;ABCA7;RTN4;NUP62;MARK4;MAP1A;PYHIN1;NGFR;STX3;VPS28;SLC5A3;PDZK1;CENPQ,0.2202043951202185,18/24,GPR137B;PRKAA1;INS;TFRC;NUMA1;ABCA7;RTN4;NUP62;MARK4;MAP1A;PYHIN1;NGFR;STX3;VPS28;TGFB1;SLC5A3;PDZK1;CENPQ,24
regulation of interferon-beta production (GO:0032648),0.1219797584837431,18/24,TRIM56;TLR3;YY1;RNF135;RIOK3;REL;DHX58;IRF1;TLR8;TLR2;POLR3D;RELB;POLR3G;PYCARD;IFIH1;IRF3;LILRB1;TLR9,0.5394986389073242,16/24,YY1;RNF135;RIOK3;DHX58;IRF1;TLR8;DDX58;POLR3D;RELB;POLR3G;IFIH1;IRF3;POLR3C;LILRB1;TLR9;PTPRS,24
base-excision repair (GO:0006284),0.1219797584837431,18/24,WRN;ERCC6;NEIL1;APEX2;RPA1;RPA3;RFC2;NTHL1;PNKP;LIG1;ERCC5;RFC5;PARP1;NEIL3;POLQ;PARG;SMUG1;MBD4,0.1103330115017213,19/24,NTHL1;LIG1;SMUG1;MBD4;WRN;NEIL1;APEX2;RFC2;PNKP;NEIL3;POLQ;POLB;RPA1;PARG;NEIL2;RPA3;ERCC5;RFC5;PARP1,24
mitochondrial transport (GO:0006839),0.12289224166370548,20/27,TIMM44;TMEM14A;TIMM9;BAD;FLVCR1;TIMM17B;TIMM17A;TIMM8B;PPIF;TIMM22;TIMM10;TIMM23;BCS1L;SLC25A24;TOMM22;TMEM14B;TIMM13;SLC25A31;OXA1L;SLC25A16,0.3712318499178961,19/27,SLC25A4;TIMM44;TIMM9;BAD;TIMM17B;TIMM17A;PPIF;TIMM22;TIMM10;TIMM23;PITRM1;BCS1L;SLC25A24;TOMM22;TMEM14B;TIMM13;OXA1L;TMEM14C;SLC25A16,27
regulation of cellular amino acid metabolic process (GO:0006521),0.12289224166370548,20/27,PSMB8;PSMB4;INS;ODC1;PSMA2;PSMC5;PSMD4;PSMA4;OAZ2;PSMB10;PSMD6;PSMD2;PSMD8;PSMD7;PSME4;PSMB3;PSMD11;PSMA5;PSMC3;PSMD14,0.019688149979962422,23/27,PSMB8;PSMA8;PSMB4;INS;PSMB6;ODC1;PSMA2;PSMC5;PSMD4;PSMA4;OAZ2;PSME2;PSMD6;PSME3;PSMD2;PSMD8;PSMD7;PSME4;PSMB3;PSMD11;PSMA5;PSMC3;PSMD14,27
regulation of cellular catabolic process (GO:0031329),0.12289224166370548,20/27,DAPK2;BOK;TYSND1;RRAGA;GPR137;DEPDC5;ABCB11;WDR91;MTMR3;GPR137B;FBXL2;LAMP3;CISD2;WDR41;USP13;RRAGD;ABCD1;WDR24;C9ORF72;DDIT3,0.5308531663365212,18/27,MTMR3;GPR137B;DAPK2;OSBPL7;FBXL2;BOK;LAMP3;SMCR8;CISD2;ABCD1;TYSND1;GPR137;ABCB11;DDIT3;USP13;DEPDC5;C9ORF72;WDR91,27
