set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
regulation of DNA-directed DNA polymerase activity (GO:1900262),1.0299070488843505,90.5,1.2537642069243564,63.5
positive regulation of DNA-directed DNA polymerase activity (GO:1900264),1.0299070488843505,90.5,1.2537642069243564,63.5
enzyme-directed rRNA pseudouridine synthesis (GO:0000455),1.0289358524351773,92.5,1.4774589466461834,23.5
rRNA pseudouridine synthesis (GO:0031118),1.0289358524351773,92.5,1.4774589466461834,23.5
carnitine transport (GO:0015879),1.027291484335628,94.0,0.895315131907194,413.0
V(D)J recombination (GO:0033151),1.0257795141766035,95.0,1.1328970550111714,110.0
positive regulation of neuron migration (GO:2001224),1.0254123805022293,96.0,1.1212492491590205,116.0
mitotic chromosome condensation (GO:0007076),1.0240804059276662,97.0,1.017377224979615,220.0
mitotic DNA integrity checkpoint signaling (GO:0044774),1.0240500569809068,98.0,1.112889652138429,125.0
protein import into mitochondrial matrix (GO:0030150),1.0194290626143823,99.0,1.1603324449120982,94.0
regulation of DNA-dependent DNA replication (GO:0090329),1.0172510868433544,100.0,1.0839153505501236,147.0
5-phosphoribose 1-diphosphate metabolic process (GO:0046391),1.0126645349247563,101.5,0.7746706372217188,756.5
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015),1.0126645349247563,101.5,0.7746706372217188,756.5
spliceosomal snRNP assembly (GO:0000387),1.0113879548261206,103.0,1.1034058226653392,133.0
microtubule cytoskeleton organization involved in mitosis (GO:1902850),1.007787968295682,104.0,1.0898173532431115,143.0
histone exchange (GO:0043486),1.0068184863972403,105.0,1.0073661914302376,223.0
negative regulation of telomere maintenance via telomere lengthening (GO:1904357),1.004408237392663,106.0,0.9399389655730429,323.0
microtubule depolymerization (GO:0007019),1.0033070757172984,107.0,1.023694247287202,210.0
histone phosphorylation (GO:0016572),0.9952931420868748,108.0,1.1601280077118883,95.0
regulation of vesicle fusion (GO:0031338),0.991815162469615,109.0,0.889342148030733,431.0
nephron tubule development (GO:0072080),0.9897086807778945,110.0,0.9511205498801459,306.0
negative regulation of chromosome organization (GO:2001251),0.9889911542403075,111.0,0.7668086617078963,790.0
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166),0.9884372777826199,112.0,1.2736650116610087,58.0
attachment of mitotic spindle microtubules to kinetochore (GO:0051315),0.9863212212070147,113.0,1.1268800211532877,114.0
pyrimidine nucleoside biosynthetic process (GO:0046134),0.9836175368915501,114.0,0.9512769679110369,305.0
stress-activated protein kinase signaling cascade (GO:0031098),0.9787662180998862,115.0,1.01912155360641,215.0
mitotic spindle organization (GO:0007052),0.9748203493966169,116.0,1.0720219013863412,159.0
regulation of protein kinase A signaling (GO:0010738),0.9745285874813377,117.0,0.9187098036381749,371.0
mitochondrial translational termination (GO:0070126),0.9690577598294744,118.0,1.175674499931087,85.0
positive regulation of viral transcription (GO:0050434),0.9665767245806741,119.0,1.217664788026616,75.0
DNA alkylation (GO:0006305),0.9644306964280921,120.5,1.0726235871153367,156.5
DNA methylation or demethylation (GO:0044728),0.9644306964280921,120.5,1.0726235871153367,156.5
