set,Real_Score,Real_Rank,Real_Count,Syn_Score,Syn_Rank,Syn_Count,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes
mitochondrial gene expression (GO:0140053),1.0658469406479574,1.0,21,0.8957529933675419,85.0,21,0.015236020980121745,0.30025512773844354,18/21,MRPS34;MRPS18B;MRPS16;MRPL23;MRPS24;MRPL16;TFB2M;MRPS17;MRPS14;FASTKD5;RARS2;NDUFA7;MRPS7;MRPL12;IARS2;LARS2;MRPL51;MRPS2,0.004788369901793383,0.9255234967323496,21/21,MRPS34;MRPL16;RARS2;MRPL51;MRPS15;MRPS16;TFB2M;MRPS17;MRPS14;FASTKD5;MRPL12;SLC25A33;MRPS18B;MRPL23;MRPS24;NDUFA7;MRPS2;MRPS7;IARS2;LARS2;MRPS28
spliceosomal snRNP assembly (GO:0000387),1.0113879548261209,2.0,15,1.0161057504264521,13.0,15,0.0069370990379530205,0.23007656069273733,14/15,DDX20;CD2BP2;COIL;GEMIN6;SART1;LSM2;PRPF3;GEMIN5;PRPF6;SNRPE;SNRPD3;TGS1;CLNS1A;SNRPG,0.022058092172819746,0.9999841444821818,15/15,DDX20;GEMIN6;CD2BP2;COIL;SART3;SART1;LSM2;PRPF3;GEMIN5;PRPF6;SNRPE;SNRPD3;TGS1;CLNS1A;SNRPG
microtubule cytoskeleton organization involved in mitosis (GO:1902850),1.007787968295682,3.0,48,1.1022881622621874,5.0,48,0.0008746134056865657,0.06574177432744019,40/48,NUP133;NUP98;TUBG1;PMF1;KIF2C;NUP85;DYNLL2;BUB1B;NEK6;DCTN2;RCC1;CDCA8;CENPP;TAOK1;KIF18A;NUP107;DLGAP5;TACC3;ERCC6L;CENPE;ITGB3BP;CDC20;PLK2;CENPQ;CENPH;CENPK;DYNC1H1;BUB1;AURKB;INCENP;SPC24;KNTC1;DSN1;NUP37;EML1;SPC25;CENPM;KIF4A;TTK;EFHC1,0.06295983644621961,0.9999841444821818,42/48,MIS12;NUP98;AURKC;TUBG1;PMF1;KIF2C;NUP85;DYNLL2;BUB1B;NEK6;DCTN2;CDCA8;CENPP;TAOK1;KIF18A;NUP107;DLGAP5;TACC3;ERCC6L;CENPE;NSL1;ITGB3BP;CDC20;PLK2;CENPQ;CENPH;CENPK;DYNC1H1;KIF2A;BUB1;AURKB;INCENP;SPC24;KNTC1;DSN1;NUP37;EML1;SPC25;CENPM;KIF4A;TTK;EFHC1
mitotic spindle organization (GO:0007052),0.9748203493966169,4.0,52,1.0850470742259644,7.0,52,0.000776693893240339,0.06567917734713616,43/52,SMC3;NUP133;NUP98;TPX2;KIFC2;TUBG1;PMF1;KIF2C;NUP85;DYNLL2;BUB1B;NEK6;DCTN2;RCC1;CDCA8;CENPP;TAOK1;KIF18A;NUP107;AAAS;DLGAP5;ERCC6L;CENPE;ITGB3BP;CDC20;PLK2;CENPQ;CENPH;CENPK;DYNC1H1;BUB1;AURKB;INCENP;SPC24;KNTC1;DSN1;NUP37;EML1;SPC25;CENPM;KIF4A;TTK;EFHC1,0.035766601434317605,0.9999841444821818,46/52,SMC3;MIS12;NUP98;TPX2;KIFC2;AURKC;TUBG1;PMF1;KIF2C;NUP85;DYNLL2;BUB1B;NEK6;DCTN2;CDCA8;CENPP;TAOK1;KIF18A;NUP107;AAAS;CEP192;DLGAP5;ERCC6L;CENPE;NSL1;ITGB3BP;CDC20;PLK2;CENPQ;CENPH;CENPK;DYNC1H1;KIF2A;BUB1;AURKB;INCENP;SPC24;KNTC1;DSN1;NUP37;EML1;SPC25;CENPM;KIF4A;TTK;EFHC1
mitochondrial translational termination (GO:0070126),0.9690577598294743,5.0,54,0.989074867404329,20.0,54,0.0004145605647765576,0.054937839276153026,45/54,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPL37;MRPL48;MRPS16;MRPS35;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;MRPS18B;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;MRPS30;MRPS25;MRPS2;MRPL13;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS36,0.0001456856771124948,0.04927818028330136,52/54,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL35;MRPL41;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPS15;MRPL48;MRPS16;MRPS35;MRPL43;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;MRPS18B;MRPS5;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;MRPS30;MRPS25;MRPS2;MRPL13;MRPL32;MRPS31;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS28;MRPS36
mitochondrial translational elongation (GO:0070125),0.9471409655061498,6.0,56,0.9825784013589703,25.0,56,0.0006830832757513568,0.06443822035635906,46/56,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPL37;MRPL48;MRPS16;TUFM;MRPS35;MRPL15;MRPL1;MRPS17;MRPS14;MRPL12;MRPS18B;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;MRPS30;MRPS25;MRPS2;MRPL13;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS36,9.362809312158459e-05,0.04927818028330136,54/56,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL35;MRPL41;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPS15;MRPL48;MRPS16;TUFM;MRPS35;MRPL43;MRPL15;MRPL1;MRPS17;MRPS14;MRPL12;GFM1;MRPS18B;MRPS5;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;MRPS30;MRPS25;MRPS2;MRPL13;MRPL32;MRPS31;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS28;MRPS36
translational termination (GO:0006415),0.9446656568533396,7.0,57,0.9633402131019024,33.0,57,0.00015776268239428958,0.04647129578909755,48/57,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;ETF1;MRPL22;N6AMT1;MRPL27;MRPL9;MRPS26;MRPL51;MRPL37;MRPL48;MRPS16;MRPS35;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;GSPT2;MRPS18B;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;MRPS30;MRPS25;MRPS2;MRPL13;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS36,0.0004291017265559869,0.11611492720605006,54/57,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL35;ETF1;MRPL41;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPS15;MRPL48;MRPS16;MRPS35;MRPL43;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;GSPT2;MRPS18B;MRPS5;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;MRPS30;MRPS25;MRPS2;MRPL13;MRPL32;MRPS31;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS28;MRPS36
translational elongation (GO:0006414),0.9343460111321896,8.0,60,0.9577162087894506,39.0,60,0.0001974108797361148,0.04647129578909755,50/60,MRPL14;MRPS34;MRPS33;MRPS18C;EEF2;MRPS23;MRPL50;MRPL16;MRPL11;MRPL22;EEFSEC;MRPL27;MRPL9;MRPS26;MRPL51;MRPL37;MRPL48;EEF1A2;MRPS16;TUFM;MRPS35;MRPL15;MRPL1;MRPS17;MRPS14;MRPL12;MRPS18B;MRPL23;ZNF598;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;MRPS30;MRPS25;MRPS2;MRPL13;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS36,3.840002365750493e-05,0.04927818028330136,58/60,MRPL14;MRPS34;MRPS33;MRPS18C;EEF2;MRPS23;MRPL50;MRPL16;MRPL11;MRPL35;MRPL41;MRPL22;EEFSEC;MRPL27;MRPL9;MRPS26;MRPL51;MRPS15;MRPL48;EEF1A2;MRPS16;TUFM;MRPS35;MRPL43;MRPL15;MRPL1;MRPS17;MRPS14;MRPL12;GFM1;MRPS18B;MRPS5;MRPL23;ZNF598;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;MRPS30;MRPS25;MRPS2;MRPL13;MRPL32;MRPS31;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;MRPS9;OXA1L;MRPL36;MRPS27;MRPL44;MRPS28;MRPS36
mitochondrial translation (GO:0032543),0.9187794600760956,9.0,63,0.9569398254809212,40.0,63,0.0002404279900396769,0.04647129578909755,52/63,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;RARS2;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPL37;MRPL48;MRPS16;TUFM;MTIF2;MRPS35;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;MRPS18B;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;NDUFA7;MRPS30;MRPS25;MRPS2;MRPL13;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;IARS2;OXA1L;LARS2;MRPS9;MRPL36;MRPS27;MRPL44;MRPS36,0.00012336543746304952,0.04927818028330136,60/63,MRPL14;MRPS34;MRPS33;MRPS18C;MRPS23;MRPL50;MRPL16;MRPL11;MRPL35;RARS2;MRPL41;MRPL22;MRPL27;MRPL9;MRPS26;MRPL51;MRPS15;MRPL48;MRPS16;TUFM;MTIF2;MRPS35;MRPL43;MRPL15;MRPL1;MRPS17;MRRF;MRPS14;MRPL12;GFM1;MRPS18B;MRPS5;MRPL23;GADD45GIP1;MRPS24;CHCHD1;MRPL54;TSFM;NDUFA7;MRPS30;MRPS25;MRPS2;MRPL13;MRPL32;MRPS31;MRPL17;MRPS22;MRPL4;MRPL28;MRPS7;MRPL40;IARS2;OXA1L;LARS2;MRPS9;MRPL36;MRPS27;MRPL44;MRPS28;MRPS36
maturation of SSU-rRNA (GO:0030490),0.9149495637596199,10.0,15,0.8980405805747949,82.0,15,0.0069370990379530205,0.23007656069273733,14/15,TSR2;RIOK2;LSM6;NOL11;SRFBP1;UTP3;WDR46;RPS16;NAT10;UTP6;PWP2;DHX37;HEATR1;RIOK3,0.11794078354041247,0.9999841444821818,14/15,TSR2;RIOK1;RIOK2;LSM6;NOL11;UTP3;WDR46;RPS16;NAT10;UTP6;PWP2;DHX37;HEATR1;RIOK3
DNA replication (GO:0006260),0.9095587248685543,11.0,43,1.003991079435336,16.0,43,0.0013461798136152302,0.09106906439107032,36/43,CDK2AP1;TOP1MT;ATR;RMI1;CDC6;PNKP;POLG2;HUS1;CLSPN;RPA3;BLM;BARD1;RBMS1;RPA1;RECQL5;BRIP1;RPA4;TOPBP1;TOP1;UPF1;WRN;POLE2;RNASEH2A;RFC5;FAM111B;IGHMBP2;RFC2;RAD1;POLA2;CHEK1;RECQL4;GRWD1;NT5M;REV3L;POLA1;TIPIN,0.022320583343555342,0.9999841444821818,39/43,CDK2AP1;TOP1MT;ATR;CDC6;RAD9B;RMI1;PNKP;POLG2;HUS1;CLSPN;RPA3;BLM;POLL;BARD1;RBMS1;RPA1;RECQL5;BRIP1;RPA4;TOPBP1;TOP1;WRN;POLE2;RPA2;RNASEH2A;RFC5;FAM111B;IGHMBP2;RFC2;RAD1;POLA2;CHEK1;RECQL4;GRWD1;NT5M;REV3L;TOP3A;POLA1;TIPIN
import into nucleus (GO:0051170),0.9027842440792267,12.0,33,0.9267133880803515,62.0,33,0.0031860747626461035,0.1666077032783673,28/33,NUP133;IPO13;E2F3;NUP85;EIF4ENIF1;RANBP17;PHB2;HEATR3;DDX20;NUP62;PRICKLE1;IPO4;NUP62CL;NXT2;NXT1;SYK;NUP107;SNRPG;GEMIN5;GEMIN6;NUP214;NUTF2;IPO11;SNRPD3;GCKR;BACH2;SNRPE;IPO8,0.3658056830557928,0.9999841444821818,27/33,IPO13;RANBP6;EIF4ENIF1;E2F3;NUP85;RANBP17;DDX20;NUP62;PRICKLE1;IPO4;NUP62CL;NXT2;NXT1;SYK;NUP107;SNRPG;GEMIN5;GEMIN6;NUP88;NUP214;NUTF2;IPO11;SNRPD3;GCKR;PPP1R10;SNRPE;IPO8
regulation of posttranscriptional gene silencing (GO:0060147),0.9015427826358591,13.5,23,0.8212697272017673,245.5,23,0.00020671477639098857,0.04647129578909755,22/23,NUP133;POLR2I;NUP98;POLR2B;POLR2C;NUP85;POLR2E;NUP62;NUP54;POLR2J;NUP35;NUP107;AAAS;IPO8;NUP214;RAE1;POLR2F;EIF4G1;POLR2H;POLR2G;NUP37;NUP205,0.08329469219433784,0.9999841444821818,21/23,POLR2I;NUP98;POLR2B;POLR2C;NUP85;POLR2E;NUP62;NUP54;NUP35;NUP107;AAAS;IPO8;NUP88;NUP214;RAE1;POLR2F;EIF4G1;POLR2H;POLR2G;NUP37;NUP205
regulation of gene silencing by RNA (GO:0060966),0.9015427826358591,13.5,23,0.8212697272017673,245.5,23,0.00020671477639098857,0.04647129578909755,22/23,NUP133;POLR2I;NUP98;POLR2B;POLR2C;NUP85;POLR2E;NUP62;NUP54;POLR2J;NUP35;NUP107;AAAS;IPO8;NUP214;RAE1;POLR2F;EIF4G1;POLR2H;POLR2G;NUP37;NUP205,0.08329469219433784,0.9999841444821818,21/23,POLR2I;NUP98;POLR2B;POLR2C;NUP85;POLR2E;NUP62;NUP54;NUP35;NUP107;AAAS;IPO8;NUP88;NUP214;RAE1;POLR2F;EIF4G1;POLR2H;POLR2G;NUP37;NUP205
positive regulation of mitotic cell cycle phase transition (GO:1901992),0.8972039607335469,15.0,17,0.8997474258015763,79.0,17,0.016411449868033015,0.30025512773844354,15/17,FGF10;CDC16;DLGAP5;LSM10;RDX;FBXO5;DTL;ANXA1;UBE2E2;CDC23;ANAPC11;EIF4G1;NSMCE2;CDCA5;PHB2,0.6711844543957968,0.9999841444821818,13/17,FGF10;CDC16;DLGAP5;LSM10;FBXO5;DTL;ANXA1;UBE2E2;CDC23;ANAPC11;EIF4G1;NSMCE2;CDCA5
"DNA-templated transcription, termination (GO:0006353)",0.8923367260575452,16.0,28,0.8484012288692014,175.0,28,0.016197252336030084,0.30025512773844354,23/28,CCNH;SSU72;CPSF3;SLBP;POLR2E;LSM10;SNRPG;TTF1;SYMPK;CPSF1;POLR3K;CSTF2;POLR2F;CSTF1;GTF2H1;POLR2H;SNRPD3;GTF2H4;CDK7;POLR1C;GTF2H5;POLR1E;SNRPE,0.03296366490958864,0.9999841444821818,26/28,CCNH;SSU72;CPSF3;SLBP;POLR2E;LSM10;SNRPG;TTF1;SYMPK;CPSF1;POLR3K;TBP;CSTF2;GTF2H3;POLR2F;CSTF1;TAF1B;POLR2H;SNRPD3;GTF2H4;CDK7;POLR1C;GTF2H5;POLR1E;SNRPE;ERCC3
regulation of cyclin-dependent protein kinase activity (GO:1904029),0.8765241663828877,17.0,21,0.949950755696929,43.0,21,0.0034585709091080642,0.1666077032783673,19/21,CCNH;CCNI;CDK5R1;CDC6;HERC5;CCNG1;BLM;CCNB3;CCNE1;CCNE2;DIRAS3;GADD45A;CDC37;CDKN1C;GTPBP4;CDK7;CCNB2;GTF2H1;CCNA2,0.6743385763297988,0.9999841444821818,16/21,CCNH;CCNB3;CDKN2C;CCNI;CCNE1;CCNB2;CCNE2;CDKN1C;DIRAS3;CDC6;GTPBP4;GADD45A;CCNG1;CCNA2;BLM;CDK7
exonucleolytic catabolism of deadenylated mRNA (GO:0043928),0.8705941227753122,18.0,16,0.8445187957089686,182.0,16,0.08078481143735393,0.6506062492544039,13/16,CNOT8;WDR61;LSM6;EXOSC2;EXOSC1;LSM2;LSM7;EXOSC4;EXOSC5;DCP1B;EXOSC9;EDC4;LSM1,0.8721436536489775,0.9999841444821818,11/16,LSM6;DCPS;EXOSC2;LSM2;LSM7;EXOSC4;EXOSC5;DCP1B;EXOSC9;EDC4;SKIV2L
negative regulation of DNA recombination (GO:0045910),0.8650133547598893,19.0,20,0.8793329830778565,111.0,20,0.06556443376498167,0.5962603185644997,16/20,POLR2I;POLR2J;POLR2B;POLR2G;UBQLN4;KLHL15;MSH2;POLR2F;POLQ;POLR2C;TERF2IP;POLR2H;POLR2E;FANCB;BLM;DAXX,0.1406330333276594,0.9999841444821818,18/20,POLR2I;POLR2B;MAGEF1;TP53BP1;POLR2G;UBQLN4;KLHL15;MSH2;POLR2F;POLQ;POLR2C;TINF2;TERF2IP;POLR2H;POLR2E;FANCB;BLM;DAXX
mitotic nuclear membrane reassembly (GO:0007084),0.8538209323789798,21.0,20,0.7815787557522149,369.0,20,0.021588130263795188,0.3314043995101765,17/20,REEP4;NUP133;SIRT2;PPP2R2A;NUP98;EMD;CCNB2;NUP205;NUP37;NUP35;NUP85;VPS4A;BANF1;LEMD2;NUP107;CHMP6;RCC1,0.8592353092167045,0.9999841444821818,14/20,REEP4;SIRT2;PPP2R2A;NUP98;EMD;CCNB2;CHMP2A;NUP205;NUP37;NUP35;NUP85;VPS4A;BANF1;NUP107
nuclear membrane reassembly (GO:0031468),0.8538209323789798,21.0,20,0.7815787557522149,369.0,20,0.021588130263795188,0.3314043995101765,17/20,REEP4;NUP133;SIRT2;PPP2R2A;NUP98;EMD;CCNB2;NUP205;NUP37;NUP35;NUP85;VPS4A;BANF1;LEMD2;NUP107;CHMP6;RCC1,0.8592353092167045,0.9999841444821818,14/20,REEP4;SIRT2;PPP2R2A;NUP98;EMD;CCNB2;CHMP2A;NUP205;NUP37;NUP35;NUP85;VPS4A;BANF1;NUP107
mitotic nuclear membrane organization (GO:0101024),0.8538209323789798,21.0,20,0.7815787557522149,369.0,20,0.021588130263795188,0.3314043995101765,17/20,REEP4;NUP133;SIRT2;PPP2R2A;NUP98;EMD;CCNB2;NUP205;NUP37;NUP35;NUP85;VPS4A;BANF1;LEMD2;NUP107;CHMP6;RCC1,0.8592353092167045,0.9999841444821818,14/20,REEP4;SIRT2;PPP2R2A;NUP98;EMD;CCNB2;CHMP2A;NUP205;NUP37;NUP35;NUP85;VPS4A;BANF1;NUP107
rRNA processing (GO:0006364),0.8492690976394929,23.0,62,0.8646699070995049,136.0,62,0.00032645898603411553,0.049077667567128704,51/62,POP5;RRP12;DDX49;SART1;SRFBP1;UTP18;EXOSC5;UTP3;NVL;TEX10;NAT10;RCL1;WDR12;PWP2;BYSL;IMP3;IMP4;LSM6;TFB1M;UBA52;NOL11;MRPL1;LYAR;RPL8;RRP9;NOC4L;RPL35A;RPS9;RIOK3;PDCD11;BOP1;EXOSC4;WDR46;RPS16;EXOSC9;DHX37;XRN2;DKC1;RPL7;RIOK2;PIH1D1;EXOSC2;EXOSC1;MDN1;TBL3;RPL36;UTP6;WDR18;MPHOSPH6;DDX27;HEATR1,0.3419590165785653,0.9999841444821818,50/62,POP5;RRP12;DDX49;FCF1;SART1;MRTO4;EXOSC5;UTP3;TEX10;NAT10;RCL1;WDR12;PWP2;EBNA1BP2;BYSL;IMP3;IMP4;LSM6;TFB1M;RPL11;UBA52;NOL11;MRPL1;LYAR;RPL8;RRP9;NOC4L;RPL35A;RPS9;RIOK3;RIOK1;PELP1;PDCD11;BOP1;EXOSC4;WDR46;RPS16;EXOSC9;DHX37;XRN2;DKC1;RIOK2;PIH1D1;EXOSC2;TBL3;RPL26;UTP6;WDR18;MPHOSPH10;HEATR1
"nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)",0.8470243646892348,24.0,17,0.8318772548979486,217.0,17,0.05882233002494897,0.576714583505478,14/17,CNOT8;WDR61;LSM6;EXOSC2;EXOSC1;LSM2;LSM7;EXOSC4;EXOSC5;DCP1B;EXOSC9;EDC4;LSM1;POLR2G,0.8380923914202545,0.9999841444821818,12/17,LSM6;DCPS;EXOSC2;LSM2;LSM7;EXOSC4;EXOSC5;DCP1B;EXOSC9;EDC4;SKIV2L;POLR2G
telomere organization (GO:0032200),0.8427276699784901,25.0,15,0.8782649558772556,112.0,15,0.10984545748549425,0.7303436097156739,12/15,DOT1L;RPA1;ATR;PARP1;DCLRE1B;ERCC4;TERF2IP;HUS1;RECQL4;WRN;RPA3;BLM,0.31232687584254404,0.9999841444821818,13/15,DOT1L;RPA1;RPA3;ATR;PARP1;ERCC4;TINF2;TERF2IP;HUS1;RECQL4;WRN;RPA2;BLM
DNA-dependent DNA replication (GO:0006261),0.8398577795645616,26.0,54,0.8687009917995594,126.0,54,0.001245328751609575,0.08868051583830289,44/54,CDK2AP1;CDC6;PSMD2;POLG2;PNKP;RPA3;BLM;GINS1;NOC3L;PSMD6;UBA52;RPA1;RECQL5;PSMB3;PSMD8;PSMB4;RPA4;DDX23;PSMA4;TOPBP1;PURA;PSMB10;GINS2;WRN;POLE2;PSMC3;GMNN;PSMD4;RFC5;PSMC5;RFC2;PSME4;PSMB8;PRIM1;POLA2;RECQL4;PSMA5;PSMD7;PSMD11;REV3L;POLA1;SSBP1;PSMD14;PSMA2,0.3065008016944074,0.9999841444821818,44/54,CDK2AP1;CDC6;PSMD2;POLG2;PNKP;RPA3;BLM;GINS1;NOC3L;PSMD6;UBA52;RPA1;RECQL5;PSMB3;PSMD8;PSMB4;RPA4;DDX23;TOPBP1;PURA;GINS2;WRN;POLE2;PSMC3;GMNN;RPA2;PSMD4;RFC5;PSMC5;RFC2;PSME4;PRIM1;POLA2;RECQL4;PSMD7;PSME3;PSMD11;PSMA8;REV3L;POLA1;SSBP1;PSMC2;SIRT7;PSMA2
mitotic sister chromatid segregation (GO:0000070),0.8352959578501724,27.0,37,0.8574041438604169,149.0,37,0.050122492832100685,0.5558666623101003,28/37,NCAPG2;CDC23;TUBG1;KIF2C;KIF22;DCTN2;CDCA8;NUP62;TTN;KIF25;KIF14;REC8;SPAG5;KIF18A;DLGAP5;CENPE;NCAPD2;RRS1;NCAPD3;CHMP6;CENPK;AKAP8L;DSN1;PHF13;NCAPH;VPS4A;CDCA5;NCAPG,0.3888700152043237,0.9999841444821818,30/37,NCAPG2;MIS12;CHMP2A;CDC23;TUBG1;KIF2C;KIF22;CHMP1B;DCTN2;CDCA8;NUP62;TTN;KIF25;KIF14;REC8;KIF18A;DLGAP5;CENPE;NSL1;NCAPD2;RRS1;NCAPD3;CENPK;AKAP8L;DSN1;PHF13;NCAPH;VPS4A;CDCA5;NCAPG
regulation of gene silencing by miRNA (GO:0060964),0.8337479167284669,28.0,27,0.7190802780640105,617.0,27,0.0016804510823608453,0.10334774156519197,24/27,NUP133;POLR2I;NUP98;POLR2B;POLR2C;NUP85;POLR2E;ZFP36;NUP62;NUP54;POLR2J;NUP35;NUP107;AAAS;IPO8;NUP214;RAE1;LIMD1;POLR2F;EIF4G1;POLR2H;POLR2G;NUP37;NUP205,0.5966797114080999,0.9999841444821818,21/27,POLR2I;NUP98;POLR2B;POLR2C;NUP85;POLR2E;NUP62;NUP54;NUP35;NUP107;AAAS;IPO8;NUP88;NUP214;RAE1;POLR2F;EIF4G1;POLR2H;POLR2G;NUP37;NUP205
mitotic DNA damage checkpoint signaling (GO:0044773),0.8264093007256511,29.0,22,0.8804284665508799,110.0,22,0.09236858225405538,0.6904679104405355,17/22,RPS27L;UIMC1;BRSK1;DTL;TRIM39;CDC14B;TOPBP1;FBXO31;STK33;CHEK1;TIPIN;NEK11;HUS1;CLSPN;TAOK1;BLM;EME1,0.23873626437302037,0.9999841444821818,19/22,TRIM39;RAD9B;HUS1;CLSPN;BLM;UIMC1;TOPBP1;FBXO31;TAOK1;ZNF830;RPA2;CDC14B;STK33;CHEK1;NEK11;EME1;DTL;TIPIN;RINT1
mitotic metaphase plate congression (GO:0007080),0.8252340232006036,30.0,19,0.8957234546919797,86.0,19,0.3542955558684298,0.9998690134726378,13/19,CDCA8;NUP62;CENPE;CDC23;KIF2C;KIF14;VPS4A;RRS1;CDCA5;KIF22;KIF18A;CHMP6;DCTN2,0.5717143630842458,0.9999841444821818,15/19,CDCA8;MIS12;NUP62;CHMP2A;CENPE;CDC23;KIF2C;KIF14;VPS4A;RRS1;CDCA5;KIF22;KIF18A;CHMP1B;DCTN2
protein targeting to mitochondrion (GO:0006626),0.8223886569559697,31.0,19,0.8295272426709211,224.0,19,0.08768841401858418,0.6745003148720369,15/19,TIMM13;IMMP1L;TIMM44;TIMM9;TIMM17B;TIMM8B;TIMM22;TIMM10;TIMM17A;MIPEP;TOMM22;PMPCB;PMPCA;NDUFA13;TIMM23,0.16634387552556573,0.9999841444821818,17/19,TIMM13;IMMP1L;TIMM44;TIMM9;TIMM17B;PITRM1;TIMM8B;TIMM17A;TIMM10;GDAP1;MIPEP;TOMM22;PMPCB;PMPCA;NDUFA13;DNAJC15;TIMM23
mRNA metabolic process (GO:0016071),0.820148003686128,32.0,27,0.7307841703107987,565.0,27,0.006907229074778975,0.23007656069273733,23/27,CPSF3;SNRPE;CNOT10;SF3B2;SLBP;PNPT1;ZFP36;LSM10;LSM6;LSM2;ZFP36L2;TBRG4;PRPF18;SFPQ;SNRPG;USP39;SF3B4;PRPF3;SNRPD3;PABPC3;AKAP8L;DHX15;HSF1,0.414526795110711,0.9999841444821818,22/27,CPSF3;ERN1;CNOT10;SF3B2;SLBP;METTL3;LSM10;LSM6;LSM2;ZFP36L2;PRPF18;SFPQ;SNRPG;USP39;SF3A2;SF3B4;PRPF3;SNRPD3;PABPC3;AKAP8L;DHX15;SNRPE
mitotic G2/M transition checkpoint (GO:0044818),0.8197840935983116,33.0,16,0.8677572854421783,127.0,16,0.08078481143735393,0.6506062492544039,13/16,UIMC1;BRSK1;DTL;TRIM39;CDC6;TOPBP1;CHEK1;HUS1;CLSPN;TAOK1;CHFR;CDC14B;BLM,0.2686875645879229,0.9999841444821818,14/16,UIMC1;DTL;TRIM39;CDC6;TOPBP1;CHEK1;HUS1;CLSPN;TAOK1;ZNF830;CHFR;CDC14B;BLM;RINT1
interstrand cross-link repair (GO:0036297),0.8183692990092686,34.0,24,0.8108875460617795,277.0,24,0.053329526816238156,0.5637097639247673,19/24,RNF168;ATR;DCLRE1A;RPA3;NEIL3;UBA52;RPA1;FANCC;DCLRE1B;POLN;FANCF;FANCA;ERCC4;FANCG;WDR48;EME1;RAD51AP1;UBE2T;FANCB,0.5406270376633594,0.9999841444821818,19/24,RNF168;ATR;DCLRE1A;RPA3;NEIL3;UBA52;RPA1;FANCC;POLN;RPA2;FANCA;ERCC4;FANCG;WDR48;EME1;FANCE;RAD51AP1;UBE2T;FANCB
