set,Real_Score,Real_Rank,Real_Count,Syn_Score,Syn_Rank,Syn_Count,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes
regulation of trans-synaptic signaling (GO:0099177),0.40928316332464854,938.0,22,0.8296853649819507,222.0,22,0.9849062152974323,0.9998690134726378,9/22,LRRC4C;ABR;PSMC5;NTF4;LRRC4;CX3CR1;NLGN2;ARC;BTBD9,0.43024629519029445,0.9999841444821818,18/22,LRRC4C;GRIK4;ABR;PSMC5;NTF4;LRRC4;CACNA1A;CACNA1B;NLGN4X;NLGN3;CX3CR1;NLGN2;GRID2;RELN;ARC;BTBD9;NLGN1;NGF
positive regulation of neuron death (GO:1901216),0.40919742079231103,939.0,27,0.5658568547111733,1247.0,27,0.7966477586833661,0.9998690134726378,15/27,ZNF746;TYROBP;SARM1;SNCA;CDK5R1;GRN;MAP3K5;WNT5A;EGR1;DDIT3;DKK1;FOS;ITGAM;TFAP2B;DAXX,0.7547308476456207,0.9999841444821818,20/27,TYROBP;GRN;WNT5A;DKK1;GRIN2B;SARM1;MAP3K5;CDK5;FOS;C1QA;NUPR1;ZNF746;PCSK9;EPHA7;TFAP2B;DAXX;FCGR2B;SNCA;PRNP;ITGAM
lymphocyte differentiation (GO:0030098),0.40898016831132344,940.0,41,0.6746370928692002,859.0,41,0.8812177983762475,0.9998690134726378,22/41,LEPR;ITGA4;LY6D;RAG2;LEP;AICDA;JAG2;NHEJ1;BLNK;DNAJB9;IFNA10;NFIL3;RHOH;RELB;LFNG;ZBTB7A;IFNA8;CEBPG;GPS2;MSH2;PLCG2;LMBR1L,0.26911395449508707,0.9999841444821818,34/41,NFAM1;LEPR;CD79B;LY6D;RAG2;LEP;AICDA;JAG2;NHEJ1;IFNW1;IFNA5;IFNA6;IFNA21;CD79A;IFNA2;IL11;IFNA10;NFIL3;RHOH;RELB;LFNG;ZBTB7A;IFNA8;IFNA14;CLCF1;CEBPG;IFNB1;IFNA4;GPS2;MSH2;PLCG2;MS4A1;LMBR1L;CD4
regulation of Rho protein signal transduction (GO:0035023),0.4080114090221019,941.0,27,0.5618473124824871,1260.0,27,0.12289224166370548,0.7303436097156739,20/27,P2RY8;GPR55;ARHGDIB;F2RL3;ARHGEF2;RTN4R;APOA1;SYNPO2L;GPR65;P2RY10;EPS8L3;MYOC;OPHN1;STARD8;GPR18;EPS8;GPR17;EPS8L2;RIT2;RAF1,0.9386029253187153,0.9999841444821818,18/27,F2R;GPR65;GPR55;EPS8;GPR17;APOA1;ARHGDIB;F2RL3;ARHGEF2;EPS8L3;MYOC;EPS8L2;RAF1;OPHN1;GPR174;APOC3;SYNPO2L;F2RL1
protein targeting to peroxisome (GO:0006625),0.4079233754524278,942.0,17,0.6849724539700256,808.0,17,0.8339597105480018,0.9998690134726378,9/17,PXMP2;PEX3;PXMP4;PEX13;HACL1;PEX14;PEX1;PEX16;ABCD1,0.449198589807472,0.9999841444821818,14/17,ZFAND6;PEX6;PEX3;PXMP4;GDAP1;PEX12;SLC25A17;PEX13;HACL1;PEX10;PEX7;PEX14;PEX1;PEX16
chloride transport (GO:0006821),0.40785336851298387,943.0,37,0.7368699924602418,534.0,37,0.5357662640340395,0.9998690134726378,23/37,GABRG3;GLRB;ANO3;FXYD1;BEST1;CLCN2;CLCN3;GABRA5;SLC12A4;GABRA3;SLC12A6;CLCNKB;SLC12A8;GABRP;SLC4A10;SLC12A5;NMUR1;CLCN1;CLIC1;GABRR1;SLC5A1;GABRA6;GLRA2,0.3888700152043237,0.9999841444821818,30/37,GABRG3;GABRR2;GLRB;FXYD1;BEST1;FXYD3;CLCN2;CLCN3;SLC26A9;GABRA5;SLC26A7;GABRA3;CFTR;SLC12A6;CLIC3;SLC12A8;GABRP;SLC4A10;TTYH3;GLRA1;NMUR1;CLCN1;CLIC1;ANO5;GABRR1;SLC5A1;GABRB2;GABRA6;GLRA2;SLC26A8
organic hydroxy compound biosynthetic process (GO:1901617),0.40757360062786674,944.0,29,0.6262130031884341,1059.0,29,0.9486660312767963,0.9998690134726378,14/29,CYP46A1;SCP2;OSBPL6;ACOX2;ALOX15B;SLC27A2;DHCR7;AKR1C3;OSBPL1A;ABCB11;EBP;SQLE;CH25H;SLC27A5,0.9827127334142056,0.9999841444821818,18/29,CYP46A1;SCP2;BAAT;OSBPL6;ALOX15B;AKR1C4;CYP27A1;ACOX2;SLC27A2;PMVK;AKR1C3;ALOX15;DHCR7;EBP;SQLE;CYP7A1;HSD17B4;SLC27A5
response to reactive oxygen species (GO:0000302),0.4075606514575414,945.0,24,0.594560130404839,1166.0,24,0.9118649410148498,0.9998690134726378,12/24,PTPRN;MMP9;PRDX3;APTX;RPS3;AKR1C3;HBA1;FOS;GLRX2;PDK2;S100A7;PTPRK,0.9906255269061722,0.9999841444821818,14/24,PTPRN;GSTP1;MMP9;ADAM9;SOD2;PRDX3;APTX;AKR1C3;APOD;MPV17;HBA1;FOS;S100A7;SIRT1
triglyceride homeostasis (GO:0070328),0.4074717447744534,946.0,16,1.0780968964317164,8.0,16,0.7553811191332623,0.9998690134726378,9/16,LPL;MLXIPL;APOC2;CETP;IL18;APOA1;GPIHBP1;APOA5;GCKR,0.017101596377337467,0.9999841444821818,16/16,LPL;PLA2G12B;ANGPTL4;MLXIPL;APOC2;APOC3;CETP;IL18;APOA1;NR1H4;GPIHBP1;LIPC;APOA5;GCKR;APOC4;SIRT1
regulation of cell motility (GO:2000145),0.4074077522484175,947.0,56,0.7152487633673514,630.0,56,0.7018762882771142,0.9998690134726378,33/56,FUT3;CCR7;SPOCK3;FGF17;SGK3;PLXNA3;LMO4;FGF10;NRG4;FGF22;CADM4;SGK1;TBCCD1;KIF14;WAS;DUOX1;ARHGAP18;FGF3;NRG2;FBLN1;TMSB10;CCL19;FES;SERPINE2;FGF6;CSF1R;DUOXA2;TMSB4Y;HACE1;RAF1;ABI3;PRKX;PIN1,0.6281326173736775,0.9999841444821818,43/56,FGF8;CCR7;PLXNB3;SST;SPOCK3;FGF17;SGK3;PLXNA3;FGF10;FGF16;NRG4;FGF22;CADM4;SGK1;NTN1;TBCCD1;FRMD5;KIF14;WAS;ARHGAP18;FGF3;NRG2;FBLN1;AMOT;TMSB10;CCL19;FES;DAPK3;SERPINE2;LDB1;MGAT3;EGF;CSF1R;DUOXA2;KIF2A;FGF20;TMSB4Y;HACE1;TACSTD2;RAF1;PRKX;AMOTL2;PIN1
cellular response to BMP stimulus (GO:0071773),0.4072192878556182,948.0,34,0.8351925770289651,202.0,34,0.8830907014194127,0.9998690134726378,18/34,BMP15;SLC39A5;BMP8B;DLX5;BMPR1B;AMH;HIVEP1;GDF5;RGMB;BMP2;GDF3;LEFTY1;SLC33A1;AMHR2;GDF1;MEGF8;GDF9;TGFBR3,0.09304420971322783,0.9999841444821818,30/34,BMP2;GDF3;LEFTY1;GDF15;LEFTY2;ADAMTS7;SLC33A1;SLC39A5;GDF2;AMHR2;GDF9;TGFBR3;BMPR1B;GDF5;RGMB;HFE;SMAD6;GDF1;BMP5;HIVEP1;BMP15;BMP8B;DLX5;BMP10;AMH;CER1;NODAL;SMAD4;MEGF8;BMP6
Fc receptor mediated stimulatory signaling pathway (GO:0002431),0.4071882152635498,949.0,25,0.509431901476383,1318.0,25,0.19013182882685548,0.9288434365410292,18/25,HCK;ARPC3;FCGR2A;CD3G;ARPC2;LIMK1;ARPC5;PLCG2;PLD2;NCKAP1;WAS;DOCK1;SYK;NCKAP1L;NR4A3;BLK;NCK1;ARPC1B,0.820446965385635,0.9999841444821818,18/25,HCK;ARPC3;FCGR2B;ARPC2;LIMK1;PIK3CA;WASL;PLD2;NCKAP1;WAS;DOCK1;SYK;NCKAP1L;NR4A3;PLCG2;BLK;NCK1;ARPC1B
sterol metabolic process (GO:0016125),0.4071745985668887,950.0,33,0.5828331897841822,1201.0,33,0.21397047992741275,0.9847008821149301,23/33,CYP46A1;SULT2B1;APOA1;CYP1B1;CYP26A1;CETP;CH25H;FDXR;TSKU;NR0B2;EBP;OSBPL5;SQLE;CLN6;CYP21A2;CYP11B2;LCAT;DHCR7;SCAP;OSBPL1A;APOA2;CYP11A1;FDX1,0.8988994075937303,0.9999841444821818,23/33,CYP46A1;PMVK;APOA1;CYP1B1;CYP26A1;CES1;CETP;SOAT2;APOB;CYP27A1;FDXR;TSKU;EBP;OSBPL5;SQLE;CYP21A2;LCAT;DHCR7;SCAP;APOA2;CYP11A1;FDX1;CYP7A1
negative regulation of catabolic process (GO:0009895),0.4066598656390508,951.0,21,0.6684214542593347,889.0,21,0.577453042827575,0.9998690134726378,13/21,SIRT2;ACTN3;CBFA2T3;SERPINB12;PDE3B;FBP1;PRKCG;APOA2;ALK;INS;PRKAA1;SNX12;PIN1,0.47558875449824967,0.9999841444821818,17/21,NUPR1;SIRT2;IRAK3;ACTN3;CBFA2T3;SERPINB12;PDE3B;CST3;IL1B;TRIM40;FBP1;APOA2;ALK;INS;APOC3;PIN1;SNX12
cell junction organization (GO:0034330),0.40649197880875404,952.0,30,0.7512850063065022,478.0,30,0.8638676978470428,0.9998690134726378,16/30,FLNC;SNCA;LIMS1;LIMS2;MYOT;SNCG;LRP4;SNCB;PPFIA2;NLGN2;MYO9A;OPHN1;CBLN1;TJP2;PIN1;APBB2,0.785732179728642,0.9999841444821818,22/30,FLNC;TJP2;MYOT;SNCG;SLC8A2;GRHL2;NLGN4X;C1QA;OPHN1;APBB2;MARVELD3;LRP4;PPFIA2;NLGN2;CBLN2;SNCA;LIMS1;PPFIA4;NLGN3;MYO9A;CBLN1;PIN1
regulation of viral genome replication (GO:0045069),0.40606391995428837,953.0,25,0.5459608991115075,1284.0,25,0.9757074639746977,0.9998690134726378,11/25,SRPK1;APOBEC3G;FKBP6;IFIH1;STAU1;RAD23A;ZC3HAV1;BANF1;CCL5;PPIH;RNASEL,0.9128806714663485,0.9999841444821818,17/25,IFITM3;IFITM1;ISG15;SRPK1;CD28;EIF2AK2;APOBEC3G;BST2;IFNB1;IFIH1;APOBEC3C;STAU1;ZC3HAV1;BANF1;CCL5;APOBEC3F;RNASEL
regulation of synapse assembly (GO:0051963),0.4059124852266336,954.0,26,0.8347132354467687,206.0,26,0.9178017252989036,0.9998690134726378,13/26,GPC4;LRRC4B;SNCA;EPHB3;TLR2;IL1RAPL1;SLITRK3;EIF4G1;NLGN2;GHRL;BHLHB9;SLIT1;LHFPL4,0.2746554345356864,0.9999841444821818,22/26,CHRNB2;GHRL;WNT3A;EPHB1;GPC4;LRFN5;LRFN4;SLITRK3;WNT7A;TLR2;IL1RAPL2;EIF4G1;NLGN2;GRID2;NLGN1;SNCA;EPHB3;IL1RAPL1;SRPX2;NLGN3;BHLHB9;LHFPL4
