set,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes,Genes
positive regulation of cytokine production (GO:0001819),0.7931660370581297,0.9998690134726378,95/162,CD276;S100A13;DHX58;POLR1C;NLRP10;IL23R;PIK3CG;POLR3G;EGR1;POLR2F;AGT;F3;NOD2;TLR2;POLR3D;ARHGEF2;AGPAT1;TNFRSF14;POLR3GL;LEP;APOA2;SORL1;IL17D;LILRA5;CD58;DDIT3;IL18;CEBPG;INS;SCAMP5;MBP;IL27;IL33;RFTN1;CARD11;HMHB1;MAPK11;NLRP9;CD2;NLRP3;PLA2G1B;GATA4;PAEP;TMEM106A;GAPDH;HPSE;HHLA2;CYP1B1;ORM1;DHX36;CCL1;IL9;POLR3H;IRF1;LPL;PYCARD;IL12A;ANXA1;SPHK2;IL7;TRAF2;TLR9;CRTAM;CSF1R;RIPK1;POLR3E;POLR2E;TLR5;CCL19;PQBP1;LILRB1;IFIH1;ALOX15B;TLR3;RPS3;TYROBP;STAT6;CCBE1;SYK;PLCG2;POLR3K;WNT5A;SULF2;TLR8;GLMN;POLR2H;IRF3;CD226;TNFSF4;STOML2;CYBA;CCR7;CD40LG;C1QTNF4;IL17A,0.9064951607981674,0.9999948639545445,50/162,POLR3C;ZFPM1;C5;DHX58;CCL19;PQBP1;IL13;CD4;IL12B;PDE4B;ALOX15B;PIK3CG;RPS3;NR1H4;FFAR2;CRLF2;SLAMF6;CCL1;SYK;IL18;POLR3H;INS;PLCG2;POLR3K;IRF1;AGT;F3;SULF2;IRF3;IL7;TRAF2;RFTN1;POLR3D;NODAL;IL23A;ARHGEF2;TNFRSF14;STOML2;NOX5;NOX1;EIF2AK2;RIPK1;NLRP9;CD40LG;LEP;TGFB1;CD2;NLRP3;CD274;POLR3E,162
positive regulation of cytokinesis (GO:0032467),0.7553811191332623,0.9998690134726378,9/16,MRGPRX2;GIPC1;CDC14A;AURKB;CDC6;TAS2R13;KIF14;KIF20B;CDC14B,0.7237182372730193,0.9999948639545445,5/16,GIPC1;TAS1R2;AURKB;KIF20B;KIF14,16
positive regulation of cytoskeleton organization (GO:0051495),0.5425449032172444,0.9998690134726378,26/42,BAIAP2L2;PFN3;SORBS3;FCHSD1;SPAG5;HCLS1;CDC42EP2;NCKAP1;FES;EDN1;SYNPO2L;HAX1;TEK;HCK;PYCARD;PFDN2;NCK1;NUMA1;CDC42EP1;BAIAP2L1;NUP62;LIMK1;DYNC1H1;CCR7;NCKAP1L;PLEK,0.7779183363345402,0.9999948639545445,13/42,NCKAP1;FER;DYNC1H1;CDK5;HAX1;BAIAP2L1;CCL24;TEK;PFN3;CDC42EP1;FCHSD1;SPAG5;HCLS1,42
positive regulation of mitochondrion organization (GO:0010822),0.4004658246447619,0.9998690134726378,14/21,BAD;BOK;ZDHHC6;PYCARD;HTRA2;ADCK1;CIDEB;MMP9;MOAP1;PLD6;PDCD5;DNM1L;MLLT11;PPIF,0.4809420468591879,0.9999948639545445,8/21,BOK;BAK1;HTRA2;ADCK1;MMP9;MOAP1;SPIRE1;MLLT11,21
positive regulation of mitotic nuclear division (GO:0045840),0.8911910245206776,0.9998690134726378,9/18,EDN1;LRP5;CDC16;CDC23;ANAPC11;DLGAP5;INS;NUP62;NSMCE2,0.6599960554155286,0.9999948639545445,6/18,EGF;ANAPC4;CDC23;ANAPC11;INS;NSMCE2,18
positive regulation of multicellular organismal process (GO:0051240),0.9957067944754737,0.9998690134726378,82/159,DAB2;S100A13;ZNF516;TRPV2;PIK3CG;APOA5;GATA5;GADD45G;BMPR1B;AGT;TSKU;BAD;TBX5;NUMA1;UCN;ADRA1A;AGPAT1;CNOT3;MST1;TFRC;SMO;LEP;SMURF2;SIRT6;SORL1;PRKAB1;TRIM16;GHRH;SMTNL2;GHSR;GATM;JAK2;IL18;PPARGC1B;INS;SCAMP5;SDCBP;TRPM8;FH;IL33;GCNT2;SNAI1;LEPR;DYNC1H1;NPPB;ADRB2;CPT2;FBXO5;GHRHR;ADRB1;GAPDH;HHLA2;ADRB3;CRB2;GHRL;G0S2;IL20;LPIN1;OLFM1;PAXIP1;DBH;CYP27B1;CRTAM;SNX4;VAMP8;PPIB;ADRA1D;TRPM4;STAT6;SYK;ABCA7;WNT5A;SLN;HCRT;GLMN;HSF1;BMP2;BAMBI;ADCYAP1;APOC2;TNFSF4;RTN4,0.7393131129832942,0.9999948639545445,53/159,PRKAB1;FBXO5;UCP1;TRIM16;GHRHR;ALOX12B;IL13;TRPV2;NR2C2;PIK3CG;CRB2;APOA5;SIRT1;SMTNL2;GHRL;TRPM4;JAK2;RBM19;GATA5;ZNF703;IL18;SYK;INS;IL20;BMPR1B;ABCA7;AGT;TSKU;EGF;TGFB1I1;HDAC3;TRPM8;OLFM1;CYP27B1;UCN;GCNT2;NLRP5;NODAL;BMP2;BAMBI;IL23A;ADCYAP1;DYNC1H1;BCL9L;NPPB;NOX5;MST1;EIF2AK2;SMO;ADRB2;LEP;TGFB1;IL12B,159
positive regulation of myeloid leukocyte differentiation (GO:0002763),0.4224301077508194,0.9998690134726378,12/18,FES;RIPK1;PF4;HAX1;EVI2B;HSF1;ACIN1;IL23R;IL17A;POU4F2;HCLS1;HLA-DRB1,0.28534384934600315,0.9999948639545445,8/18,IL23A;RIPK1;HAX1;PF4;EVI2B;CD4;IL12B;HCLS1,18
positive regulation of nervous system development (GO:0051962),0.9573488503479812,0.9998690134726378,9/20,LRRC4B;NLGN2;EPHB3;GHRL;IL1RAPL1;CX3CR1;BHLHB9;SNW1;SERPINF1,0.5999867179977203,0.9999948639545445,7/20,NLGN2;EPHB3;FAIM;GHRL;GRID2;BHLHB9;SNW1,20
positive regulation of neuron death (GO:1901216),0.7966477586833661,0.9998690134726378,15/27,DDIT3;FOS;DKK1;TYROBP;GRN;SNCA;CDK5R1;SARM1;MAP3K5;EGR1;TFAP2B;ZNF746;WNT5A;DAXX;ITGAM,0.660629700107048,0.9999948639545445,9/27,FOS;SNCA;CDK5R1;CDK5;SARM1;EPHA7;MAP3K5;FCGR2B;DAXX,27
positive regulation of leukocyte mediated cytotoxicity (GO:0001912),0.539232196692058,0.9998690134726378,12/19,NCR3;CD226;TYROBP;CD1B;IL12A;STX7;CD1C;CRTAM;KLRC2;IL23R;ITGAM;HLA-DRB1,0.5354382190110907,0.9999948639545445,7/19,NCR3;IL23A;SLAMF6;CD1C;KLRC2;IL12B;CD1B,19
