set,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes,Genes
translational termination (GO:0006415),0.00015776268239428958,0.04647129578909755,48/57,MRPL28;MRPS23;MRPL9;MRPL11;MRRF;MRPS36;MRPL44;MRPS7;MRPS17;GSPT2;MRPL51;ETF1;MRPS9;CHCHD1;MRPS14;MRPL12;MRPS22;OXA1L;MRPS26;MRPL15;MRPL16;MRPS30;MRPL27;MRPS24;MRPS16;MRPL23;MRPL50;MRPL17;MRPL36;MRPL37;MRPL13;MRPL1;MRPL48;MRPS35;MRPS25;MRPS33;MRPL40;MRPL22;GADD45GIP1;MRPL4;MRPL54;MRPL14;MRPS27;MRPS18B;MRPS34;MRPS18C;N6AMT1;MRPS2,0.0057095446658445344,0.5897374411089544,30/57,MRPL28;MRPL43;MRPS23;MRRF;MRPS36;MRPS31;ETF1;GSPT2;MRPL51;MRPS9;MRPS14;MRPS26;MRPL15;MRPS28;MRPL16;MRPS24;MRPS16;MRPL50;MRPL17;MRPL36;MRPL37;MRPL1;MRPS35;MRPL22;GADD45GIP1;MRPL4;MRPL14;MRPS27;MRPS34;MRPS18C,57
regulation of posttranscriptional gene silencing (GO:0060147),0.00020671477639098857,0.04647129578909755,22/23,POLR2E;NUP35;NUP98;NUP205;NUP54;IPO8;POLR2J;NUP37;POLR2F;NUP85;POLR2I;POLR2H;POLR2G;RAE1;POLR2C;NUP214;NUP62;NUP133;EIF4G1;AAAS;NUP107;POLR2B,0.7610291299009153,0.9999948639545445,7/23,NUP35;NUP98;POLR2J;POLR2G;NUP205;POLR2B;NUP85,23
mitochondrial translation (GO:0032543),0.0002404279900396769,0.04647129578909755,52/63,MRPL28;MRPS23;MRPL9;MRPL11;MRRF;MRPS36;MRPL44;MRPS7;MRPS17;MRPL51;MRPS9;CHCHD1;MRPS14;TSFM;MRPL12;OXA1L;MRPS22;RARS2;MRPS26;MRPL15;MTIF2;MRPL16;MRPS30;MRPL27;MRPS24;MRPS16;MRPL23;NDUFA7;MRPL50;TUFM;MRPL17;MRPL36;LARS2;MRPL37;MRPL13;MRPL1;MRPL48;MRPS35;MRPS25;MRPS33;MRPL40;MRPL22;GADD45GIP1;MRPL4;MRPL54;MRPL14;MRPS27;MRPS18B;MRPS34;MRPS18C;MRPS2;IARS2,0.004237062893056354,0.5897374411089544,33/63,MRPL28;MRPL43;MRPS23;MRRF;MRPS36;MRPS31;MRPL51;MRPS9;MRPS14;MRPS26;MRPL15;MRPS28;MRPL16;GFM1;MRPS24;MRPS16;NDUFA7;MRPL50;TUFM;MRPL17;MRPL36;LARS2;MRPL37;MRPL1;MRPS35;MRPL22;GADD45GIP1;MRPL4;MRPL14;MRPS27;MRPS34;MRPS18C;IARS2,63
regulation of gene silencing by RNA (GO:0060966),0.00020671477639098857,0.04647129578909755,22/23,POLR2E;NUP35;NUP98;NUP205;NUP54;IPO8;POLR2J;NUP37;POLR2F;NUP85;POLR2I;POLR2H;POLR2G;RAE1;POLR2C;NUP214;NUP62;NUP133;EIF4G1;AAAS;NUP107;POLR2B,0.7610291299009153,0.9999948639545445,7/23,NUP35;NUP98;POLR2J;POLR2G;NUP205;POLR2B;NUP85,23
cellular macromolecule biosynthetic process (GO:0034645),0.00018696177442691984,0.04647129578909755,98/128,MRPL28;RPS21;RNASEH2A;ASMT;RPA4;NKX2-8;MRPS7;MRPS17;FAM111B;MRPL51;IGHMBP2;RPS20;TSFM;GOLPH3;UPF1;RPA3;RPL36;BLM;TYMS;RMI1;POLR2F;RPS9;PPP5C;HUS1;MRPL27;MRPS16;CLSPN;TUFM;GRWD1;FUT9;THAP1;RPL8;DRG1;BARD1;NT5M;RECQL5;MRPS18C;E2F1;EEF1A2;RPL35A;YARS2;MRPL9;MRRF;MRPS36;NR4A2;BCL3;TOPBP1;RPS6KB2;CHEK1;PWP1;ZAR1;POLA2;EPC1;POLR2I;POLR2C;HOXD3;EEFSEC;CDC6;TOP1;RFC2;POLR2B;POLA1;MRPL11;GSPT2;MRPS14;RPA1;POLR2J;IGF2BP3;RPS16;RFC5;MRPL23;POLR2G;MRPL36;MRPL13;BRIP1;MRPS33;EEF2;SRBD1;POLE2;RBMS1;RPL7;POLR2E;RPS12;RPS23;RAD1;RECQL4;RPS18;RPS3;TIPIN;WRN;POLR2H;ATR;MRPL37;EIF4G1;EXT1;MRPS18B;PTH;TOP1MT,0.008049214550787893,0.5897374411089544,59/128,MRPL28;MRPL43;RPS12;RPS21;RNASEH2A;RPL3L;MRRF;MRPS36;NR4A2;TOPBP1;RPS23;NFKBIB;RAD1;TOP1MT;CHEK1;MRPL51;GSPT2;PWP1;MRPS14;RECQL4;RPA1;RPA2;GOLPH3;POLA2;COPS5;RPA3;RPL36;INHA;RPS18;RPS3;POLR2J;PPP5C;TIPIN;MRPS16;RFC5;WRN;PABPC4;TAF1B;POLR2G;PTMS;TOPORS;ATR;TUFM;HOXD3;MRPL36;THAP1;RPL8;MRPL37;BRIP1;RPS4Y2;EEF2;RECQL5;TOP1;SRBD1;POLE2;MRPS18C;POLR2B;YARS2;POLA1,128
translational elongation (GO:0006414),0.0001974108797361148,0.04647129578909755,50/60,MRPL28;MRPS23;MRPL9;MRPL11;MRPS36;MRPL44;MRPS7;MRPS17;MRPL51;MRPS9;CHCHD1;MRPS14;TSFM;MRPL12;OXA1L;MRPS22;MRPS26;MRPL15;MRPL16;MRPS30;MRPL27;MRPS24;MRPS16;MRPL23;MRPL50;TUFM;MRPL17;MRPL36;MRPL37;MRPL13;MRPL1;MRPL48;MRPS35;EEFSEC;MRPS25;MRPS33;MRPL40;MRPL22;GADD45GIP1;EEF2;MRPL4;MRPL54;MRPL14;MRPS27;ZNF598;MRPS18B;MRPS34;MRPS18C;EEF1A2;MRPS2,0.007115187677217171,0.5897374411089544,31/60,MRPL28;MRPL43;MRPS23;MRPS36;MRPS31;MRPL51;MRPS9;MRPS14;MRPS26;MRPL15;MRPS28;MRPL16;GFM1;MRPS24;MRPS16;MRPL50;TUFM;MRPL17;MRPL36;MRPL37;MRPL1;MRPS35;MRPL22;GADD45GIP1;EEF2;MRPL4;MRPL14;MRPS27;ZNF598;MRPS34;MRPS18C,60
translation (GO:0006412),9.099531903780336e-05,0.04647129578909755,68/84,MRPL28;MRPL9;RPS12;RPS21;ASMT;MRPL11;MRRF;FARS2;MRPS36;RPS23;RPS6KB2;MRPS7;MRPS17;WARS2;MRPL51;GSPT2;FARSA;ETF1;IGHMBP2;MRPS14;RPS20;ZAR1;TSFM;MARS2;RPS18;PPA1;RPS3;RPL36;RARS2;IGF2BP3;RPL7;UBA52;RPS16;RPS9;MRPL16;MRPL27;MRPS24;MRPS16;MRPL23;NDUFA7;TUFM;MRPL36;SARS2;LARS2;RPL8;DRG1;MRPL13;MRPL37;EEFSEC;N6AMT1;MRPS33;DARS2;EEF2;DRG2;EIF4G1;SRBD1;RPL22L1;MRPS18B;ZC3H15;MRPS34;EEF1E1;MRPS18C;EEF1A2;RPL35A;FTSJ1;MRPS2;YARS2;IARS2,0.014112728161264337,0.7346530113362937,40/84,MRPL28;MRPL43;RPS12;RPS21;RPL3L;MRRF;FARS2;MRPS36;RPS23;FARSA;ETF1;GSPT2;MRPL51;MRPS14;RPS18;PPA1;COPS5;RPS3;RPL36;MRPS28;MRPL16;MRPS24;MRPS16;PABPC4;NDUFA7;TUFM;MRPL36;LARS2;RPL8;MRPL37;RPS4Y2;DARS2;EEF2;DRG2;SRBD1;RPL22L1;MRPS34;MRPS18C;YARS2;IARS2,84
rRNA processing (GO:0006364),0.00032645898603411553,0.049077667567128704,51/62,TFB1M;LYAR;RPL35A;RIOK3;SRFBP1;UTP18;DKC1;PIH1D1;HEATR1;SART1;EXOSC5;NOL11;IMP3;RPL36;UTP3;WDR12;EXOSC4;RIOK2;EXOSC9;UBA52;RPS16;RPS9;TBL3;TEX10;NVL;EXOSC1;RRP12;WDR18;EXOSC2;PDCD11;DHX37;DDX27;MDN1;IMP4;RRP9;NAT10;RCL1;LSM6;RPL8;MPHOSPH6;WDR46;MRPL1;NOC4L;UTP6;PWP2;DDX49;POP5;XRN2;BOP1;BYSL;RPL7,0.43990718606359136,0.9999948639545445,23/62,TFB1M;LYAR;UTP18;DKC1;PIH1D1;FCF1;SART1;RPL36;EXOSC4;EXOSC9;TEX10;EXOSC2;PDCD11;WDR75;RRP9;LSM6;RPL8;MPHOSPH6;WDR46;MRPL1;MRTO4;DDX49;BYSL,62
DNA metabolic process (GO:0006259),0.00030312660024293584,0.049077667567128704,87/113,ALKBH1;RNASEH2A;RAD18;RPA4;CHRNA4;PRIM1;MSH2;IGHMBP2;POLQ;UPF1;PARG;RPA3;BLM;TYMS;HUS1;PARP1;TOP3B;ERCC4;PURA;RNASEH1;TREX2;NEIL3;KPNA2;BARD1;RECQL5;DCLRE1B;PSME4;SMARCAD1;FANCG;TOPBP1;CHEK1;CHD1L;POLA2;FANCC;NEIL1;DDB2;DDX23;PARP2;PNKP;NUDT15;DNASE1L3;GTF2H1;UBE2U;UBE2T;BTG2;CDC6;TOP1;RFC2;GTF2H4;SMUG1;POLA1;FBXO6;DNASE1L2;GLRX2;HELLS;ERCC5;THAP9;RPA1;MGMT;MBD4;RFC5;NTHL1;XRCC2;POLH;LIG1;REXO4;POLE2;ENDOG;XPC;RAD1;TOP2A;RECQL4;NOC3L;GADD45A;UBA52;LONP1;WRN;SUPV3L1;GMNN;ATR;DOT1L;TERF2IP;TRRAP;TRIM28;RAD51AP1;FANCA;TOP1MT,0.00136076969916918,0.33133801655906103,56/113,ALKBH1;RNASEH2A;RAD18;DNASE1L2;FANCG;TOPBP1;UBE2V2;RAD1;CHEK1;CHD1L;GLRX2;TOP2A;POLQ;HELLS;RECQL4;RPA1;RPA2;POLA2;NOC3L;RPA3;GADD45A;FANCC;POLB;NEIL1;PARP1;DDX23;LONP1;MBD4;RNASEH1;RFC5;TREX2;WRN;PARP2;SUPV3L1;NTHL1;ATR;NUDT15;RAD52;DNASE1L3;XRCC2;POLH;UBE2T;RECQL;RECQL5;TOP1;RAD51AP1;INTS3;POLE2;TOP2B;GTF2H4;TINF2;PSME4;ENDOG;SMARCAD1;TOP1MT;POLA1,113
mitochondrial translational termination (GO:0070126),0.0004145605647765576,0.054937839276153026,45/54,MRPL28;MRPS23;MRPL9;MRPL11;MRRF;MRPS36;MRPL44;MRPS7;MRPS17;MRPL51;MRPS9;CHCHD1;MRPS14;MRPL12;MRPS22;OXA1L;MRPS26;MRPL15;MRPL16;MRPS30;MRPL27;MRPS24;MRPS16;MRPL23;MRPL50;MRPL17;MRPL36;MRPL37;MRPL13;MRPL1;MRPL48;MRPS35;MRPS25;MRPS33;MRPL40;MRPL22;GADD45GIP1;MRPL4;MRPL54;MRPL14;MRPS27;MRPS18B;MRPS34;MRPS18C;MRPS2,0.009652922920248523,0.6219240338617262,28/54,MRPL28;MRPL43;MRPS23;MRRF;MRPS36;MRPS31;MRPL51;MRPS9;MRPS14;MRPS26;MRPL15;MRPS28;MRPL16;MRPS24;MRPS16;MRPL50;MRPL17;MRPL36;MRPL37;MRPL1;MRPS35;MRPL22;GADD45GIP1;MRPL4;MRPL14;MRPS27;MRPS34;MRPS18C,54
ribosome biogenesis (GO:0042254),0.0004466490998061222,0.054937839276153026,55/68,LYAR;RPL35A;UTP18;DKC1;PIH1D1;TSC1;HEATR1;EXOSC5;NOL11;RPL36;IMP3;UTP3;WDR12;EXOSC4;RIOK2;EXOSC9;UBA52;RPS16;TBL3;RPS9;TEX10;NVL;RRS1;DDX31;LTV1;EXOSC1;ZNF622;RRP12;WDR18;EXOSC2;PDCD11;DHX37;DDX27;MDN1;IMP4;RRP9;HEATR3;MRPL36;RCL1;RPL8;MPHOSPH6;WDR46;MRPL22;NOC4L;GTF3A;PAK1IP1;UTP6;NIP7;PWP2;DDX49;POP5;XRN2;BOP1;BYSL;RPL7,0.26884596699984775,0.9999948639545445,27/68,LYAR;UTP18;DKC1;PIH1D1;TSC1;FCF1;RPL36;EXOSC4;EXOSC9;TEX10;RRS1;DHX29;EXOSC2;PDCD11;WDR75;RRP9;MRPL36;RPL8;MPHOSPH6;WDR46;MRPL22;GTF3A;PAK1IP1;NIP7;MRTO4;DDX49;BYSL,68
DNA repair (GO:0006281),0.0005596393947793282,0.06309934176136925,91/120,ALKBH1;RNASEH2A;RAD18;RPA4;CHRNA4;MSH2;IGHMBP2;POLQ;UPF1;RPA3;BLM;HUS1;PPP5C;PARP1;ERCC4;NEIL3;DDX1;XRCC4;KPNA2;BARD1;RECQL5;DCLRE1B;MLH3;RNF168;PSME4;BRCA2;FANCG;TOPBP1;FANCB;CHEK1;APEX2;CHD1L;GTF2H5;FANCC;NEIL1;FANCF;DDB2;PARP2;PNKP;GTF2H1;CETN2;TNKS1BP1;UBE2U;UBE2T;CDCA5;BTG2;RFC2;GTF2H4;APTX;SMUG1;POLA1;FBXO6;NSMCE1;EME1;UIMC1;ERCC5;RPA1;MGMT;SLC30A9;MBD4;RFC5;TRIP13;UBE2NL;XRCC2;POLH;BRIP1;LIG1;REXO4;SMARCA5;WDR48;POLE2;XPC;EYA1;RAD1;ERCC6;RECQL4;GADD45A;PIAS4;RAD23A;UBA52;WRN;ATR;DOT1L;POLN;TRRAP;TRIM28;RAD51AP1;FANCA;DCLRE1A;ASCC2;ACTR5,0.011733816142679583,0.7216296927747943,55/120,ALKBH1;RNASEH2A;RAD18;FANCG;TOPBP1;UBE2V2;RAD1;CHEK1;APEX2;CHD1L;POLQ;RECQL4;RPA1;RPA2;FTO;SIRT1;RPA3;GADD45A;FANCC;POLB;PPP5C;NEIL1;PARP1;FANCF;NEIL2;SLC30A9;MBD4;RFC5;WRN;PARP2;XRCC4;TRIP13;FANCE;ATR;RAD52;POLN;UBE2NL;XRCC2;POLH;CETN2;BRIP1;UBE2T;RECQL;CDCA5;RECQL5;PRMT6;RAD51AP1;INTS3;POLE2;DCLRE1A;GTF2H4;APTX;PSME4;ASCC2;POLA1,120
gene expression (GO:0010467),0.000714392686877595,0.06443822035635906,107/144,MRPL28;RPS21;ASMT;MRPL44;NKX2-8;MRPS7;MRPS17;MRPL51;IGHMBP2;RPS20;GOLPH3;PRPF4;MAGOH;SMG5;RPL36;UPF1;NUP37;NXT1;POLR2F;RPS9;PPP5C;THOC7;MRPL27;MRPS16;THAP1;RPL8;DRG1;CPSF1;TASP1;MRPS18C;EEF1A2;E2F1;SORL1;RPL35A;YARS2;MRPL9;MRRF;MRPS36;ADARB2;NR4A2;BCL3;RPS6KB2;PWP1;NUP205;ZAR1;RBM4;EPC1;SYMPK;DDX20;POLR2I;POLR2C;SLBP;HOXD3;NUP214;DUOXA2;CPSF3;POLR2B;MRPL11;NUP98;GSPT2;DKC1;NXF5;MRPS14;DNAJB11;POLR2J;IGF2BP3;RPS16;NUP85;RNASEL;MRPL23;POLR2G;MRPL36;NUP62;MRPL13;THOC6;MRPS33;NUP133;APOBEC1;SRBD1;THOC1;XRN2;RBMS1;ELAVL4;RPL7;RPS12;POLR2E;NUP35;RPS23;THOC3;NUP54;RPS18;RPS3;NOVA1;DHX38;THOC2;POLR2H;RAE1;GALNT2;MRPL37;DDX19B;EIF4G1;AAAS;DHX8;MRPS18B;NUP107;EIF4A3;NXF3,0.015391193809365513,0.7346530113362937,64/144,MRPL28;MRPL43;STUB1;RPS21;RPL3L;RPS12;NUP35;MRRF;MRPS36;POLR2B;NR4A2;NUP98;RPS23;NFKBIB;THOC3;GSPT2;MRPL51;U2AF1L4;PWP1;NUP205;DKC1;NXF5;MRPS14;RBM4;GOLPH3;RPS18;COPS5;RPS3;RPL36;NOVA1;THOC5;TFIP11;POLR2J;THOC2;PPP5C;NUP85;MRPS16;RNASEL;PABPC4;TAF1B;DEDD2;TSPAN15;POLR2G;TOPORS;SLBP;GALNT2;HOXD3;MRPL36;THAP1;RPL8;THOC6;MRPL37;DUSP11;RBM39;DDX19B;RPS4Y2;DHX8;SRBD1;RBMS2;THOC1;CPSF3;MRPS18C;POLDIP3;YARS2,144
mitochondrial translational elongation (GO:0070125),0.0006830832757513568,0.06443822035635906,46/56,MRPL28;MRPS23;MRPL9;MRPL11;MRPS36;MRPL44;MRPS7;MRPS17;MRPL51;MRPS9;CHCHD1;MRPS14;TSFM;MRPL12;MRPS22;OXA1L;MRPS26;MRPL15;MRPL16;MRPS30;MRPL27;MRPS24;MRPS16;MRPL23;MRPL50;TUFM;MRPL17;MRPL36;MRPL37;MRPL13;MRPL1;MRPL48;MRPS35;MRPS25;MRPS33;MRPL40;MRPL22;GADD45GIP1;MRPL4;MRPL54;MRPL14;MRPS27;MRPS18B;MRPS34;MRPS18C;MRPS2,0.008717478804271315,0.5897374411089544,29/56,MRPL28;MRPL43;MRPS23;MRPS36;MRPS31;MRPL51;MRPS9;MRPS14;MRPS26;MRPL15;MRPS28;MRPL16;GFM1;MRPS24;MRPS16;MRPL50;TUFM;MRPL17;MRPL36;MRPL37;MRPL1;MRPS35;MRPL22;GADD45GIP1;MRPL4;MRPL14;MRPS27;MRPS34;MRPS18C,56
tRNA aminoacylation for protein translation (GO:0006418),0.0006643898280370033,0.06443822035635906,15/15,MARS2;PPA1;FARS2;DARS2;RARS2;NARS2;TARS2;WARS2;FARSA;AARS2;EEF1E1;SARS2;LARS2;YARS2;IARS2,0.12050995885651648,0.9999948639545445,8/15,PPA1;FARS2;DARS2;TARS2;FARSA;LARS2;YARS2;IARS2,15
mitotic spindle organization (GO:0007052),0.000776693893240339,0.06567917734713616,43/52,KIF4A;KNTC1;CENPP;PLK2;NUP98;DYNLL2;CENPQ;TAOK1;TUBG1;BUB1;RCC1;ITGB3BP;NUP37;CDC20;KIF2C;DLGAP5;DSN1;KIF18A;NUP85;BUB1B;CENPM;PMF1;SPC24;SMC3;TPX2;CDCA8;ERCC6L;NEK6;TTK;INCENP;SPC25;DYNC1H1;NUP133;EFHC1;AURKB;CENPH;CENPK;AAAS;KIFC2;DCTN2;NUP107;EML1;CENPE,0.004933420690706264,0.5897374411089544,28/52,KIF4A;CENPP;PLK2;NUP98;TAOK1;TUBG1;CDC20;KIF2C;DSN1;KIF18A;NUP85;BUB1B;CENPM;PMF1;SPC24;TPX2;CDCA8;ERCC6L;TUBG2;TTK;SPC25;DYNC1H1;RANGAP1;EFHC1;AURKB;CENPK;DCTN2;INCENP,52
microtubule cytoskeleton organization involved in mitosis (GO:1902850),0.0008746134056865657,0.06574177432744019,40/48,KIF4A;KNTC1;CENPP;PLK2;NUP98;DYNLL2;CENPQ;TAOK1;TUBG1;BUB1;RCC1;ITGB3BP;NUP37;CDC20;KIF2C;DLGAP5;DSN1;KIF18A;NUP85;BUB1B;CENPM;PMF1;SPC24;ERCC6L;CDCA8;NEK6;TTK;INCENP;SPC25;DYNC1H1;NUP133;EFHC1;AURKB;CENPH;CENPK;DCTN2;NUP107;EML1;TACC3;CENPE,0.0009881771444373807,0.33133801655906103,28/48,KIF4A;CENPP;PLK2;NUP98;TAOK1;TUBG1;CDC20;KIF2C;DSN1;KIF18A;NUP85;BUB1B;CENPM;PMF1;SPC24;ERCC6L;CDCA8;TUBG2;TTK;SPC25;DYNC1H1;RANGAP1;EFHC1;AURKB;CENPK;DCTN2;INCENP;TACC3,48
nuclear-transcribed mRNA catabolic process (GO:0000956),0.0008746134056865657,0.06574177432744019,40/48,RPS12;RPS21;RPL35A;RPS23;ETF1;RC3H1;GSPT2;CNOT1;EXOSC5;RPS20;RPS18;ZFP36;MAGOH;UPF1;RPL36;SMG5;RPS3;PNRC2;ZC3H12A;EXOSC4;PNLDC1;EXOSC9;UBA52;RPS16;RPS9;CNOT10;LSM1;POLR2G;PPP2R2A;RPL8;PAN3;TNKS1BP1;CNOT8;CNOT3;EIF4G1;DCP1B;DHX34;XRN2;EIF4A3;RPL7,0.32276856417169164,0.9999948639545445,19/48,RPS12;RPS21;RPS23;ETF1;GSPT2;CNOT1;RPS18;ZFP36;RPS3;RPL36;PNRC2;EXOSC4;EXOSC9;POLR2G;CNOT4;RPL8;DCPS;MRTO4;DHX34,48
DNA-dependent DNA replication (GO:0006261),0.001245328751609575,0.08868051583830289,44/54,PSMD7;GINS2;PSMA5;RPA4;TOPBP1;PSMD8;PRIM1;PSMD4;PSMD2;PSMD11;PSMD14;RECQL4;RPA1;NOC3L;POLA2;RPA3;BLM;PSMA2;UBA52;CDK2AP1;DDX23;PURA;PSMB3;RFC5;WRN;REV3L;PSMC3;PSMB4;PSMB10;POLG2;GMNN;PNKP;PSMC5;PSMB8;GINS1;RECQL5;CDC6;POLE2;RFC2;PSME4;PSMD6;SSBP1;PSMA4;POLA1,0.0367376278390912,0.9415605977757056,26/54,PSMD7;GINS2;TOPBP1;PSMD2;RECQL4;RPA1;RPA2;POLA2;NOC3L;RPA3;PSMC2;POLB;DDX23;RFC5;WRN;PSMC3;PSMB4;POLG2;PSMC5;PSME4;GINS1;RECQL5;POLE2;RECQL;PSMA4;POLA1,54
DNA replication (GO:0006260),0.0013461798136152302,0.09106906439107032,36/43,RNASEH2A;RPA4;TOPBP1;RAD1;FAM111B;CHEK1;IGHMBP2;RECQL4;RPA1;POLA2;UPF1;RPA3;BLM;RMI1;HUS1;CDK2AP1;RBMS1;TIPIN;RFC5;CLSPN;WRN;REV3L;POLG2;ATR;PNKP;GRWD1;BARD1;BRIP1;NT5M;RECQL5;CDC6;TOP1;POLE2;RFC2;TOP1MT;POLA1,0.024622167226589053,0.7863772648574545,22/43,RNASEH2A;TOPBP1;RAD1;CHEK1;RECQL4;RPA1;RPA2;POLA2;RPA3;POLB;TIPIN;RFC5;WRN;POLG2;PTMS;ATR;BRIP1;RECQL5;TOP1;POLE2;TOP1MT;POLA1,43
"mRNA splicing, via spliceosome (GO:0000398)",0.001460532494996805,0.09410002217765129,78/103,SNRPE;CTNNBL1;PRPF6;CLNS1A;PRPF4;MAGOH;POLR2F;DBR1;ZRSR2;CD2BP2;SF3B5;RBM15;DDX1;ELAVL2;PPIH;ISY1;PHF5A;NOVA2;CPSF1;LSM7;GPKOW;SRPK1;SFPQ;USP39;RBM4;CSTF2;PRPF3;SYMPK;AQR;SNRPD3;SNRPG;RBM4B;SF3B2;CDC5L;DDX23;DDX20;SNRPB2;POLR2I;DHX16;ZCRB1;TGS1;POLR2C;EFTUD2;RBM41;CPSF3;POLR2B;SF3B4;GTF2F1;RBM14;SMNDC1;POLR2J;GEMIN5;RAVER2;SF3B1;POLR2G;DHX15;FUS;BUD31;GPATCH1;SNW1;PNN;POLR2E;COIL;PQBP1;GEMIN6;SART1;NOVA1;DHX38;DHX35;POLR2H;CSTF1;LSM6;RALY;PRPF40A;DHX8;RNF113A;LSM2;EIF4A3,0.10837595833516499,0.9999948639545445,43/103,PRCC;SF3B4;SNRPE;GTF2F1;PQBP1;SRPK1;U2AF1L4;PCF11;GEMIN6;USP39;SART1;RBM4;RBM14;NOVA1;TFIP11;POLR2J;SNW1;RBM19;DHX35;GEMIN5;RBM4B;DDX23;CD2BP2;SNRPB2;ZMAT5;POLR2G;RNPC3;CSTF1;PHF5A;LSM6;SF3A2;EFTUD2;USP49;DCPS;LSM7;DHX8;RNF113A;TRA2A;RBM41;CPSF3;LSM2;POLR2B;PNN,103
regulation of gene silencing by miRNA (GO:0060964),0.0016804510823608453,0.10334774156519197,24/27,POLR2E;NUP35;NUP98;NUP205;NUP54;ZFP36;IPO8;POLR2J;NUP37;POLR2F;NUP85;POLR2I;POLR2H;POLR2G;LIMD1;RAE1;POLR2C;NUP214;NUP62;NUP133;EIF4G1;AAAS;NUP107;POLR2B,0.660629700107048,0.9999948639545445,9/27,NUP35;ZFP36;NUP98;POLR2J;POLR2G;TGFB1;NUP205;POLR2B;NUP85,27
regulation of generation of precursor metabolites and energy (GO:0043467),0.0023172517872547477,0.1363148551372032,20/22,ZBTB7A;NUP35;NUP98;NUP205;NUP54;SLC2A6;KHK;NUP37;NUP85;GCKR;PRKAG1;GCK;RAE1;NUP214;NUP62;NUP133;AAAS;GCGR;NUP107;PNPT1,0.5442516708342076,0.9999948639545445,8/22,NUP35;NUP98;KHK;PRKAG1;PGAM1;GCGR;NUP205;NUP85,22
import into nucleus (GO:0051170),0.0031860747626461035,0.1666077032783673,28/33,SNRPE;IPO13;GEMIN6;RANBP17;PRICKLE1;BACH2;IPO8;NXT1;PHB2;SYK;GEMIN5;SNRPD3;SNRPG;NUP85;DDX20;EIF4ENIF1;E2F3;GCKR;HEATR3;NUP214;NUP62;NXT2;NUP133;NUTF2;IPO11;IPO4;NUP107;NUP62CL,0.7864420882848009,0.9999948639545445,10/33,PRICKLE1;E2F3;SNRPE;PHB2;SYK;GEMIN5;IPO4;GEMIN6;NUP85;NUP62CL,33
ubiquitin-dependent protein catabolic process (GO:0006511),0.0034375855107186258,0.1666077032783673,105/145,KBTBD7;PSMA5;RNF125;UBE2R2;PSMD2;HECTD3;PCNP;ASB2;PSMA2;VPS4A;WDR91;RMND5B;PSMC3;PSMB4;ANAPC2;PSMC5;SPSB2;VPS37C;RNF11;SMURF2;UBQLN4;RNF168;PSME4;FBXO45;VPS37B;RNF40;FBXO8;RNF217;KLHL15;UBE4A;HERPUD1;KCTD21;PSMD11;DDIT3;RBBP6;CHFR;PTTG1;RNF150;BUB1B;PELI1;PSMB3;RNF126;PLAA;PSMB10;BIRC2;ANAPC11;RNF111;PSMB8;UBE2U;AURKB;DTL;RNF7;CDC16;RNF43;SQSTM1;PSMD7;FAF1;PSMD8;UBAP1;RC3H1;HECW1;HACE1;FBXL14;WWP1;CDC20;FEM1A;FBXO22;NFE2L2;RBCK1;COP1;TRPC4AP;UBQLN2;ATE1;ZFAND2A;RNF20;CDC23;PSMD6;RNF148;KBTBD6;UBR4;ANAPC10;KLHL25;PSMD4;UBL7;NTAN1;PSMD14;VPS37D;RAD23A;CDC26;KIF14;RNF146;FEM1B;RBX1;SIAH2;SIRT2;CLOCK;UBE2D4;PML;KCTD5;VPS28;USP44;WDR81;PSMA4;UBD;FBXO11,0.0793962556482043,0.9999948639545445,60/145,STUB1;KBTBD6;PSMD7;ANAPC10;FBXO45;RNF217;RNF125;KCTD21;UBE2R2;PSMD2;SPSB4;HECTD3;RNF133;SIRT1;PSMC2;ANAPC4;ASB2;KLHL20;CDC20;CHFR;PTTG1;FBXO22;RNF150;KIF14;RNF146;BUB1B;UBQLN3;PELI1;WDR91;TGFB1I1;RBX1;SIAH2;PLAA;PSMC3;PSMB4;TOPORS;CNOT4;BIRC2;ANAPC11;PSMC5;RNF111;UBQLNL;CLOCK;RNF186;KCTD13;UBE2L6;VPS37C;PML;AURKB;DTL;USP44;RNF43;CDC23;UBQLN4;WDR81;PSME4;PSMA4;UBD;FBXO11;UBR4,145
regulation of cyclin-dependent protein kinase activity (GO:1904029),0.0034585709091080642,0.1666077032783673,19/21,CDC37;CCNI;CCNG1;CCNE1;GADD45A;CCNE2;BLM;CDKN1C;CCNA2;GTPBP4;CCNB3;CDK7;DIRAS3;GTF2H1;HERC5;CDK5R1;CCNH;CDC6;CCNB2,0.08362905400841618,0.9999948639545445,11/21,CCNA2;GTPBP4;HERC5;CDK5R1;GADD45A;CCNB3;CCNI;CCNH;CDKN2C;CCNG1;CCNE1,21
