set,Real_P,Real_FDR,Real_Overlap,Real_Genes,Syn_P,Syn_FDR,Syn_Overlap,Syn_Genes,Genes
cellular response to tumor necrosis factor (GO:0071356),0.09322574032345199,0.6930463003166513,67/98,TNFSF14;TNFSF13B;PSMD7;PSMA5;PSMA4;EDA2R;TNFRSF13B;CCL17;PSMD8;CCL7;CCL19;CCL2;CCL5;PSMD4;PSMD2;PSMD11;CD58;PSMD14;ZFP36;RPS3;ZC3H12A;JAK2;CCL1;MAP3K14;LIMS1;PSMA2;TNFSF18;TXNDC17;GBP2;NFE2L2;NPNT;TNFRSF9;CCL15;CCL16;PSMB3;ZFP36L2;PYCARD;EDARADD;PSMC3;PSMB4;CCL22;PSMB10;BIRC2;CD27;CCL4;PSMC5;HYAL3;TRAF2;TANK;PSMB8;CCL20;TCL1A;TNFRSF4;HMHB1;ARHGEF2;TNFRSF1A;TNFRSF14;TNFSF4;TNFRSF1B;RIPK1;CD70;CD40LG;TNFSF12;PSME4;PSMD6;CRHBP;NFKBIA,0.261736389622674,0.8827489597265294,70/98,TNFSF14;TNFSF13B;PSMD7;PSMA5;PSMA4;EDA2R;CCL7;PSMD8;CCL19;CCL2;XCL2;CCL5;PSMB6;PSME3;PSMD2;CD58;PSMD4;PYDC1;PSMD14;ZFP36;CCL21;SIRT1;RPS3;ZC3H12A;JAK2;CCL24;CCL1;CCL25;MAP3K14;PSMA2;GBP2;NFE2L2;TNFSF8;NPNT;TNFRSF9;CCL16;PSMB3;ZFP36L2;EDARADD;PSMC3;PSMB4;CCL22;PSMB10;BIRC2;CD27;CCL4;PSMC5;HYAL3;TRAF2;TANK;PSMB8;TCL1A;ZFAND6;TNFRSF4;ARHGEF2;TNFRSF1A;TNFRSF14;TNFSF4;TNFRSF1B;RIPK1;PSMA8;LTA;CD40LG;TNFSF12;PSME2;PSME4;PSMD6;CRHBP;TNFRSF13C;NFKBIA,98
regulation of cell cycle process (GO:0010564),0.09800276227943273,0.6943422851072758,31/43,INSM2;FBXO5;PLK2;KLHL9;KIF13A;FBXO43;CHEK1;PIK3C3;SPAG5;HORMAD1;FSD1;AICDA;BUB1;RCC1;PIN1;SIX3;MARK4;TIPIN;KIF20A;KIF20B;NUMA1;ATF5;CETN2;MKI67;PRPF40A;DYNC1H1;CCDC8;AURKB;OBSL1;USP51;PIK3R4,0.22769366632877006,0.8548872844972526,32/43,FBXO5;DCUN1D3;PLK2;KIF13A;FBXO43;SND1;CHEK1;SPAG5;HORMAD1;FSD1;BUB1;RCC1;PIN1;SIX3;MARK4;TIPIN;DAPK3;KIF20A;SH3GLB1;KIF20B;NUMA1;ATF5;UVRAG;CETN2;MKI67;PRPF40A;DYNC1H1;CCDC8;AURKB;E4F1;KLHL13;PIK3R4,43
cellular response to calcium ion (GO:0071277),0.09904513010029876,0.6943422851072758,27/37,SYT4;GUCA1A;CPNE2;SYT7;SYT13;GPLD1;IQGAP1;SLC25A24;KCNH1;AKR1C3;PLCG2;SYT1;WNT5A;SYT10;PPIF;CAMK2D;CPNE4;PRKAA1;CPNE7;CPNE9;SYT2;BRAF;SYT17;ITPKB;CPNE5;CRHBP;RYR3,0.20232346158218303,0.8122956781029484,28/37,SYT4;GUCA1A;CPNE2;SYT7;SYT8;SYT13;GPLD1;IQGAP1;SLC25A24;AKR1C3;PLCG2;SYT1;WNT5A;SYT10;PPIF;CPNE4;PRKAA1;CPNE7;MCOLN1;CPNE9;SYT2;DPEP1;BRAF;SYT17;ITPKB;CPNE5;CRHBP;RYR3,37
snRNA transcription (GO:0009301),0.09856320500084322,0.6943422851072758,23/31,POLR2E;POLR2B;GTF2F1;GTF2E1;INTS2;SNAPC3;INTS12;POLR2J;SNAPC5;POLR2F;POLR2I;GTF2A2;POLR2H;GTF2B;CDK7;POLR2G;GTF2E2;POLR2C;INTS7;ELL2;INTS5;SNAPC1;INTS8,0.03758062677048226,0.34766159897559984,26/31,POLR2E;POLR2B;INTS10;GTF2F1;GTF2E1;INTS2;TBP;SNAPC3;INTS12;POLR2J;POLR2F;SNAPC2;INTS1;POLR2I;GTF2A2;POLR2H;POLR2G;CDK7;GTF2E2;POLR2C;INTS7;ELL2;INTS5;INTS3;SNAPC1;INTS8,31
mRNA 3'-end processing (GO:0031124),0.09547617557253277,0.6943422851072758,19/25,THOC3;GRSF1;MAGOH;CSTF2;SYMPK;DHX38;THOC2;CDC73;THOC7;LEO1;CSTF1;SLBP;PAPOLB;THOC6;SSU72;CPSF1;THOC1;CPSF3;EIF4A3,0.1377582477507064,0.7141260889145814,20/25,THOC3;GRSF1;MAGOH;CSTF2;SYMPK;DHX38;THOC2;CDC73;THOC7;LEO1;CSTF1;SLBP;POLDIP3;PAPOLB;THOC6;CPSF1;THOC1;CPSF3;EIF4A3;THOC5,25
mitochondrial respiratory chain complex assembly (GO:0033108),0.09904513010029876,0.6943422851072758,27/37,NDUFAB1;SURF1;BCS1L;SCO1;COX16;ECSIT;NDUFA8;OXA1L;TMEM126B;NDUFC1;NDUFS3;NDUFA13;NDUFB3;FASTKD3;NDUFA7;NDUFS6;NDUFB10;COX17;NDUFA3;NDUFS8;NDUFB5;NDUFB8;NDUFB11;TMEM126A;SCO2;NDUFB1;NDUFA11,0.00863651635809199,0.1744060691417681,32/37,NDUFAB1;NDUFV2;SURF1;NDUFA12;COX16;ECSIT;NDUFA8;OXA1L;NDUFB4;NDUFS5;TMEM126B;NDUFAF1;NDUFC1;NDUFS3;NDUFS4;NDUFA13;NDUFB3;FASTKD3;NDUFA7;NDUFS6;NDUFB10;NDUFB2;SLC25A33;NDUFA3;COX17;NDUFS8;NDUFB5;NDUFB8;NDUFB11;TMEM126A;NDUFB1;NDUFA11,37
Notch signaling pathway (GO:0007219),0.09744248483524755,0.6943422851072758,21/28,APH1B;GMDS;ZNF423;JAG1;SNAI2;SUSD5;JAG2;NOTCH1;POFUT1;DLGAP5;PSENEN;NCSTN;NOTCH2;HOXD3;SNAI1;BMP2;HEYL;ASCL1;NOTCH3;HEY1;SNW1,0.07379247084063689,0.5104670147325565,23/28,APH1B;GMDS;MAML3;JAG1;SUSD5;JAG2;NOTCH1;POFUT1;DLGAP5;PSENEN;ADAM10;NCSTN;NOTCH2;HOXD3;MAML2;SNAI1;DTX2;NOTCH3;HEYL;ASCL1;ZNF423;HEY1;SNW1,28
mitotic G1 DNA damage checkpoint signaling (GO:0031571),0.09547617557253277,0.6943422851072758,19/25,CRADD;PLK2;TFDP2;E2F8;CNOT1;TRIAP1;GADD45A;CARM1;ARID3A;CNOT10;FBXO31;E2F7;RPS27L;TNKS1BP1;CNOT8;CNOT3;PML;BTG2;E2F1,0.4203848948252815,0.9999508177820171,18/25,RPA2;CRADD;PLK2;GADD45A;TFDP2;CNOT10;FBXO31;CNOT3;BTG2;E2F7;RPL26;CARM1;SFN;E2F8;RPS27L;E2F1;CNOT1;TRIAP1,25
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),0.09904513010029876,0.6943422851072758,27/37,PSMD7;PSMA5;B2M;PSMD8;PSMD4;PSMD2;PSMD11;TAP1;PSMD14;ITGB5;SNAP23;NCF4;CALR;PSMA2;CLEC4A;PSMB3;PSMC3;PSMB4;PSMB10;PSMC5;PSMB8;TAP2;PSME4;CYBA;VAMP8;PSMD6;PSMA4,0.024089722419120465,0.29150687294329497,31/37,PSMD7;PSMA5;B2M;PSMD8;PSMD4;PSMD2;PSME3;PSMB6;TAP1;PSMD14;ITGB5;SNAP23;NCF4;CALR;PSMA2;CLEC4A;PSMB3;PSMC3;PSMB4;PSMB10;PSMC5;PSMB8;TAP2;PSME4;CYBA;PSMA8;IKBKG;PSME2;VAMP8;PSMD6;PSMA4,37
neurotransmitter transport (GO:0006836),0.09856320500084322,0.6943422851072758,23/31,ATP1A2;SLC29A4;SLC6A16;SLC18A2;PPFIA2;RAB3A;SLC17A7;SLC6A2;SLC1A7;SLC5A7;SYT1;SLC28A2;RIMS1;SNPH;SLC6A3;APBA1;SLC18A3;LIN7B;SLC1A6;GRM4;SLC22A2;BRSK1;STXBP3,0.17276077227110676,0.7927208586819311,24/31,SLC6A4;ATP1A2;SLC29A4;SLC6A16;SLC18A2;PPFIA2;SLC17A7;SLC6A2;SLC1A7;PPFIA4;SYT1;SLC28A2;RIMS1;GAD2;SNPH;SLC6A3;APBA1;SLC18A3;PPFIA3;LIN7B;SLC1A6;GRM4;BRSK1;STXBP3,31
