threshold,jaccard,n_real
0.0001,0.14826769959113406,2951
0.001,0.20218386755899964,3644
0.01,0.2818455366098295,4625
0.05,0.38342418235877107,5696
0.1,0.4428087393387078,6295
0.2,0.5298655499228565,7040
0.5,0.7073796571897772,8358
